4.430 5 ROTORCRAFT_FP -1287 1920 -90285760 -1211104 1562376 -277977632 12855 39 -4845 0 0 0 0 2700 0
4.431 5 DL_VALUE 37 1400.
4.431 5 CIRCLE -9.597656 4.289062 5.
4.514 5 WP_MOVED_ENU 7 775 -1018 2560
4.514 5 ROTORCRAFT_NAV_STATUS 337 337 0. 0. 4 0 2
4.515 5 GPS_INT 485068523 -31588613 411661293 404502228 -37259524 705484 655248 -254 -213 91 462 58 466367500 161 13 3 1
4.516 5 SVINFO 7 26 4 1 0 11 165
4.516 5 INS 2083 -1446 90312944 1174404 -1205861 277971520 -3285 688 12298
4.613 5 ROTORCRAFT_FP -1446 2083 -90319736 -1205861 1174404 -278089248 -12742 5 -6067 0 0 0 0 2700 0
4.702 5 CIRCLE -9.597656 4.289062 5.
4.731 5 GPS_INT 485068502 -31588676 411661308 404502247 -37259599 705455 655218 -125 -253 -26 463 63 466367750 161 13 3 1
4.756 5 INS 2142 -1610 90346920 262143 -1368390 277900736 -967 -5471 7546
4.922 5 CIRCLE -9.597656 4.289062 5.
4.923 5 INS_REF 485068488 -31588045 411660161 404501494 -37258858 697599 647363 0.
4.924 5 ROVER_STATUS 0 61 3 0 0 595 7.426808
4.952 5 LINK_REPORT 5 -1 5 0 4020 93 0 951. 23. 0 0.
5.007 5 GPS_INT 485068505 -31588733 411661323 404502254 -37259666 705604 655367 -132 -192 44 466 74 466368000 161 13 3 1
5.008 5 INS 2160 -1756 90380904 576716 -1053817 277858368 2290 -2176 4040
5.093 5 ROTORCRAFT_FP -1756 2160 -90387696 -1053817 576716 -277891872 -12709 -260 -6341 0 0 0 0 2700 0
5.157 5 IMU_MAG_RAW 0 0 0
5.157 5 CIRCLE -9.597656 4.289062 5.
5.263 5 GPS_INT 485068511 -31588781 411661318 404502245 -37259722 705634 655398 35 -192 -94 466 74 466368250 161 13 3 1
5.264 5 LIDAR 0. 144 5
5.264 5 INS 2135 -1876 90414864 -540016 -996146 277968704 2280 208 7348
5.345 5 ROTORCRAFT_FP -1876 2135 -90421656 -996146 -540016 -277798144 -12695 -130 -5889 0 0 0 0 2700 0
5.346 5 UART_ERRORS 0 0 0 1
5.416 5 CIRCLE -9.597656 4.289062 5.
5.417 5 DL_VALUE 38 0.
5.539 5 GPS_INT 485068529 -31588831 411661296 404502217 -37259779 705663 655426 67 -184 -81 469 74 466368500 161 13 3 1
5.540 5 PONG 
5.541 5 INS 2058 -2001 90448824 -592444 -943717 277939328 7355 -3405 -1183
5.853 5 ROTORCRAFT_FP -2001 2058 -90455616 -943717 -592444 -277681984 -12642 -9 -7014 0 0 0 0 2700 0
5.853 5 CIRCLE -9.597656 4.289062 5.
5.853 5 GPS_INT 485068573 -31588873 411661295 404502190 -37259826 706007 655771 59 -121 -53 470 84 466368750 161 13 3 1
5.855 5 WP_MOVED_ENU 8 -760 -1031 2560
5.855 5 INS 1978 -2101 90482784 -440401 -613416 277908960 -1643 -2703 1475
5.855 5 ROTORCRAFT_FP -2101 1978 -90489568 -613416 -440401 -277747680 -12674 -38 -8316 0 0 0 0 2700 0
5.918 7 IMU_MAG_RAW 259 -633 412
5.919 7 IMU_MAG_RAW 260 -632 413
5.919 7 INS 1159 -532 452351136 -5242 5242 1076431616 -5 17 1089
5.919 7 IMU_MAG_RAW 260 -629 412
5.920 7 IMU_MAG_RAW 258 -635 414
5.920 7 IMU_MAG_RAW 258 -637 410
5.920 7 IMU_MAG_RAW 258 -637 410
5.920 7 IMU_MAG_RAW 258 -632 412
5.921 7 ROTORCRAFT_FP -532 1159 -452377376 5242 -5242 -1076459904 -12837 993 10829 0 0 0 0 0 0
5.922 7 IMU_MAG_RAW 263 -630 413
5.922 7 IMU_MAG_RAW 264 -636 409
5.922 7 IMU_MAG_RAW 258 -633 417
5.922 5 CIRCLE -9.597656 4.289062 5.
5.922 7 IMU_MAG_RAW 259 -633 419
5.923 7 IMU_MAG_RAW 264 -629 412
5.923 7 IMU_MAG_RAW 265 -628 414
5.923 7 IMU_MAG_RAW 261 -635 412
5.953 7 LINK_REPORT 7 -1 6 0 17141 595 0 3331. 116. 2 90.4
5.953 5 LINK_REPORT 5 -1 6 0 5001 115 0 981. 22. 2 90.29
5.955 7 IMU_MAG_RAW 263 -634 414
5.955 5 DATALINK_REPORT 0 2143 15065 1089 0 0
5.956 7 IMU_MAG_RAW 263 -633 415
5.956 7 IMU_MAG_RAW 263 -633 415
5.956 7 IMU_MAG_RAW 259 -630 414
5.956 7 IMU_MAG_RAW 261 -629 418
5.956 7 IMU_MAG_RAW 260 -628 412
5.995 5 GPS_INT 485068615 -31588912 411661270 404502147 -37259868 706189 655953 166 -154 -138 473 76 466369000 161 13 3 1
5.995 7 IMU_MAG_RAW 258 -632 416
5.995 7 IMU_MAG_RAW 267 -630 412
5.995 7 IMU_MAG_RAW 267 -629 415
5.996 5 INS 1856 -2193 90516728 -1148189 -749731 277823904 -2499 2217 5744
6.010 7 IMU_MAG_RAW 263 -636 416
6.010 7 ROTORCRAFT_NAV_STATUS 1272 1272 0. 0. 4 0 2
6.036 7 GPS_INT 485068837 -31588408 411661255 404502026 -37259259 707522 657286 -16 2 -5 549 73 466369000 192 8 3 1
6.063 5 ROTORCRAFT_FP -2193 1856 -90523512 -749731 -1148189 -277717248 -12684 -107 -9915 0 0 0 0 2700 0
6.064 5 ROTORCRAFT_NAV_STATUS 339 339 0. 0. 4 0 2
6.151 7 IMU_MAG_RAW 265 -638 417
6.152 7 IMU_MAG_RAW 259 -633 414
6.152 7 IMU_MAG_RAW 260 -627 419
6.152 7 INS 1162 -519 452482336 31457 0 1076572800 4 -16 1100
6.153 7 IMU_MAG_RAW 260 -627 419
6.153 7 ROVER_STATUS 2 0 3 4 0 1811 7.718228
6.153 7 IMU_MAG_RAW 263 -630 419
6.153 7 IMU_MAG_RAW 258 -627 418
6.154 5 ROVER_STATUS 0 60 3 0 0 597 7.382653
6.154 7 IMU_MAG_RAW 257 -628 414
6.154 7 IMU_MAG_RAW 260 -634 416
6.155 7 ROTORCRAFT_FP -519 1162 -452508576 0 31457 -1076601216 -12837 993 10823 0 0 0 0 0 0
6.155 7 IMU_MAG_RAW 260 -636 413
6.156 5 IMU_MAG_RAW 0 0 0
6.156 7 IMU_MAG_RAW 263 -632 409
6.156 5 CIRCLE -9.597656 4.289062 5.
6.156 7 IMU_MAG_RAW 261 -632 414
6.240 7 IMU_MAG_RAW 258 -629 418
6.240 7 IMU_MAG_RAW 268 -639 415
6.240 7 IMU_MAG_RAW 258 -637 412
6.240 7 IMU_MAG_RAW 258 -637 412
6.241 7 IMU_MAG_RAW 261 -633 417
6.241 7 IMU_MAG_RAW 260 -634 412
6.241 7 IMU_MAG_RAW 257 -635 413
6.241 5 ALIVE 53,218,81,70,62,199,115,110,109,98,53,234,26,129,160,165
6.242 7 IMU_MAG_RAW 253 -635 412
6.242 7 IMU_MAG_RAW 260 -630 415
6.243 7 IMU_MAG_RAW 263 -632 413
6.243 5 GPS_INT 485068655 -31588941 411661227 404502092 -37259899 706220 655984 187 -83 -195 474 73 466369250 161 13 3 1
6.244 7 IMU_MAG_RAW 265 -632 412
6.244 7 IMU_MAG_RAW 259 -632 416
6.244 5 LIDAR 3.21 144 1
6.244 7 IMU_MAG_RAW 263 -631 414
6.244 5 INS 1702 -2263 90550656 -1431304 -372244 277724512 -4702 -2741 7553
6.255 7 IMU_MAG_RAW 264 -631 416
6.336 7 GPS_INT 485068843 -31588407 411661257 404502024 -37259256 707580 657344 -10 -3 -5 550 64 466369250 192 8 3 1
6.337 7 IMU_MAG_RAW 264 -631 416
6.337 7 IMU_MAG_RAW 263 -636 407
6.337 7 IMU_MAG_RAW 260 -632 410
6.337 7 INS 1157 -514 452613536 10485 -20971 1076714368 -18 1 1103
6.338 5 ROTORCRAFT_FP -2263 1702 -90557440 -372244 -1431304 -277814144 -12485 -253 -11361 0 0 0 0 2700 0
6.338 7 IMU_MAG_RAW 263 -635 414
6.338 7 IMU_MAG_RAW 257 -631 415
6.339 7 IMU_MAG_RAW 261 -631 414
6.339 7 IMU_MAG_RAW 263 -637 415
6.339 7 IMU_MAG_RAW 261 -635 416
6.384 7 ROTORCRAFT_FP -514 1157 -452639776 -20971 10485 -1076742272 -12837 993 10817 0 0 0 0 0 0
6.385 7 IMU_MAG_RAW 259 -634 414
6.385 7 IMU_MAG_RAW 258 -633 419
6.385 7 IMU_MAG_RAW 259 -629 412
6.385 7 IMU_MAG_RAW 259 -629 412
6.385 7 IMU_MAG_RAW 260 -630 417
6.386 5 CIRCLE -9.597656 4.289062 5.
6.386 7 IMU_MAG_RAW 265 -635 413
6.399 7 IMU_MAG_RAW 263 -632 414
6.399 7 IMU_MAG_RAW 260 -633 410
6.415 7 IMU_MAG_RAW 263 -635 415
6.505 7 IMU_MAG_RAW 264 -630 412
6.505 7 IMU_MAG_RAW 261 -630 410
6.506 5 ENERGY 28 7.34733 4.05 29.756687 0.259613 1.938316
6.506 7 DL_VALUE 11 0.
6.506 7 IMU_MAG_RAW 260 -627 415
6.506 7 IMU_MAG_RAW 258 -635 416
6.507 5 GPS_INT 485068701 -31588952 411661178 404502032 -37259908 706258 656022 186 -16 -182 475 74 466369500 161 13 3 1
6.507 5 SVINFO 15 66 13 4 23 35 73
6.508 7 IMU_MAG_RAW 259 -635 419
6.508 7 IMU_MAG_RAW 259 -635 410
6.508 7 IMU_MAG_RAW 265 -635 410
6.508 5 INS 1528 -2283 90584576 -1363147 -20971 277704832 -3257 -1824 5912
6.509 5 DL_VALUE 39 0.
6.509 7 IMU_MAG_RAW 258 -634 407
6.566 7 GPS_INT 485068835 -31588399 411661253 404502026 -37259248 707489 657253 -2 5 -9 551 48 466369500 192 8 3 1
6.566 7 IMU_MAG_RAW 264 -628 414
6.566 7 IMU_MAG_RAW 264 -630 412
6.567 7 IMU_MAG_RAW 263 -635 412
6.567 7 INS 1162 -496 452744736 -31457 20971 1076855936 -8 -5 1101
6.567 7 IMU_MAG_RAW 261 -629 419
