Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	INS_REF:baro_qfe	INS_REF:hmsl0	INS_REF:alt0	INS_REF:lon0	INS_REF:lat0	INS_REF:ecef_z0	INS_REF:ecef_y0	INS_REF:ecef_x0	GVF_PARAMETRIC:phi	GVF_PARAMETRIC:p	GVF_PARAMETRIC:w	GVF_PARAMETRIC:s	GVF_PARAMETRIC:traj	GPS_SOL:numSV	GPS_SOL:PDOP	GPS_SOL:Sacc	GPS_SOL:Pacc	GPS:gps_nb_err	GPS:utm_zone	GPS:itow	GPS:week	GPS:climb	GPS:speed	GPS:alt	GPS:course	GPS:utm_north	GPS:utm_east	GPS:mode	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
57.109	09:28:55.109	40.451382447	-3.729062158	0	0	0	0	0	0	0	755	1441	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	19	150	293353000	18	66	0	0	0	657845	708081	-37290621	404513834	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.634975,-0.002496	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,56.650002,41.169998,0.,0.,0.,0.,0.,0.,0.	1e-05	1	5	19	141	11	66	0	30	293353000	2384	6	3	657845	1554	447811341	43817891	3	0.	0.	0.
57.359	09:28:55.359	40.451382447	-3.729062158	0	0	0	0	-20971	0	0	755	1441	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	20	150	293353250	18	66	0	0	0	657831	708067	-37290621	404513834	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.634975,-0.002496	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,56.650002,41.169998,0.,0.,0.,0.,0.,0.,0.	1e-05	1	5	19	150	18	66	0	30	293353250	2384	6	2	657831	1554	447811341	43817891	3	0.	0.	0.
57.609	09:28:55.609	40.451382447	-3.729062158	0	0	0	0	31457	-36700	0	752	1438	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	19	150	293353500	18	66	0	0	0	657834	708070	-37290621	404513834	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.634278,-0.004893	7.,5.65,43.009998,40.880001,4.77,51.93,41.279999,0.25,25.860001,0.,0.,0.,0.,0.,0.,0.	4.6e-05	1	5	19	150	18	66	0	30	293353500	2384	-3	3	657834	1554	447811341	43817891	3	0.	0.	0.
57.859	09:28:55.859	40.451382447	-3.729062276	0	0	0	0	-15728	-10485	0	752	1438	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	18	132	293354000	15	66	0	0	0	657812	708048	-37290622	404513833	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.6329,-0.014838	0.,0.8,0.8,0.5,0.5,0.05,41.279999,0.25,25.860001,0.,0.,0.,0.,0.,0.,0.	0.000175	1	5	19	150	18	66	0	30	293353750	2384	7	10	657818	1554	447811341	43817890	3	0.	0.	0.
58.109	09:28:56.109	40.451382357	-3.729062275	0	0	0	0	10485	0	0	752	1436	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	18	132	293354000	15	66	0	0	0	657812	708048	-37290622	404513833	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.6329,-0.014838	0.,0.8,0.8,0.5,0.5,0.05,41.279999,0.25,25.860001,0.,0.,0.,0.,0.,0.,0.	0.000175	1	5	19	150	18	66	0	30	293354000	2384	-3	2	657812	1554	447811340	43817890	3	0.	0.	0.
58.359	09:28:56.359	40.451382357	-3.729062275	0	0	0	0	0	15728	0	747	1436	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	19	132	293354250	17	66	0	0	0	657769	708005	-37290623	404513833	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.631238,-0.021339	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,56.650002,41.169998,0.,0.,0.,0.,0.,0.,0.	0.000235	1	5	19	150	18	66	0	30	293354250	2384	-8	3	657769	1554	447811340	43817890	3	0.	0.	0.
58.609	09:28:56.609	40.451382356	-3.729062393	0	0	0	0	0	15728	0	747	1436	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	19	134	293354500	17	66	0	0	0	657760	707996	-37290624	404513833	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.631238,-0.021339	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,56.650002,41.169998,0.,0.,0.,0.,0.,0.,0.	0.000235	1	5	19	150	18	66	0	30	293354500	2384	-3	3	657760	1554	447811340	43817889	3	0.	0.	0.
58.859	09:28:56.859	40.451382355	-3.729062511	0	0	0	0	31457	31457	0	747	1436	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	20	134	293354750	14	66	0	0	0	657724	707960	-37290625	404513833	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.633485,-0.024356	7.,5.65,43.009998,40.880001,4.77,51.93,41.279999,0.25,25.860001,0.,0.,0.,0.,0.,0.,0.	0.000276	1	5	19	150	18	66	0	30	293354750	2384	-5	3	657724	1554	447811340	43817888	3	0.	0.	0.
59.109	09:28:57.109	40.451382356	-3.729062393	0	0	0	0	47185	-31457	0	750	1436	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	20	134	293355000	11	66	0	0	0	657726	707962	-37290624	404513833	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.630965,-0.028997	0.,0.8,0.8,0.5,0.5,0.05,41.279999,0.25,25.860001,0.,0.,0.,0.,0.,0.,0.	0.000351	1	5	19	150	18	66	0	30	293355000	2384	4	10	657726	1554	447811340	43817889	3	0.	0.	0.
59.359	09:28:57.359	40.451382357	-3.729062275	0	0	0	0	5242	-15728	0	755	1431	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	19	134	293355500	17	65	0	0	0	657748	707983	-37290622	404513831	0	0	0	0.	656126	706362	-37290969	404513327	411670730	-31614719	485058874	-0.630965,-0.028997	0.,0.8,0.8,0.5,0.5,0.05,41.279999,0.25,25.860001,0.,0.,0.,0.,0.,0.,0.	0.000351	1	5	19	134	17	65	0	30	293355250	2384	4	12	657728	1554	447811340	43817890	3	0.	0.	0.
