329.573 1  3 0 0 0. 0. 0. 0.
329.575 1  4 0 0 0. 0. 0. 0.
329.577 1  5 0 0 0. 0. 0. 0.
329.578 1  6 0 0 0. 0. 0. 0.
329.579 1  3 0 0 0. 0. 0. 0.
329.654 1  4 0 0 0. 0. 0. 0.
329.655 1  5 0 0 0. 0. 0. 0.
330.628 1  3 0 0 0. 0. 0. 0.
330.629 1  4 0 0 0. 0. 0. 0.
330.630 1  5 0 0 0. 0. 0. 0.
330.631 1  6 0 0 0. 0. 0. 0.
330.632 1  3 0 0 0. 0. 0. 0.
330.633 1  4 0 0 0. 0. 0. 0.
330.634 1  5 0 0 0. 0. 0. 0.
331.551 1  3 0 0 0. 0. 0. 0.
331.552 1  4 0 0 0. 0. 0. 0.
331.553 1  5 0 0 0. 0. 0. 0.
331.554 1  6 0 0 0. 0. 0. 0.
331.555 1  3 0 0 0. 0. 0. 0.
331.631 1  4 0 0 0. 0. 0. 0.
331.631 1  5 0 0 0. 0. 0. 0.
332.591 1  3 0 0 0. 0. 0. 0.
332.592 1  4 0 0 0. 0. 0. 0.
332.593 1  5 0 0 0. 0. 0. 0.
332.595 1  6 0 0 0. 0. 0. 0.
332.595 1  3 0 0 0. 0. 0. 0.
332.596 1  4 0 0 0. 0. 0. 0.
332.598 1  5 0 0 0. 0. 0. 0.
333.607 1  3 0 0 0. 0. 0. 0.
333.608 1  4 0 0 0. 0. 0. 0.
333.610 1  5 0 0 0. 0. 0. 0.
333.611 1  6 0 0 0. 0. 0. 0.
333.611 1  3 0 0 0. 0. 0. 0.
333.612 1  4 0 0 0. 0. 0. 0.
333.613 1  5 0 0 0. 0. 0. 0.
334.565 1  3 0 0 0. 0. 0. 0.
334.565 1  4 0 0 0. 0. 0. 0.
334.565 1  5 0 0 0. 0. 0. 0.
334.566 1  6 0 0 0. 0. 0. 0.
334.566 1  3 0 0 0. 0. 0. 0.
334.566 1  4 0 0 0. 0. 0. 0.
334.566 1  5 0 0 0. 0. 0. 0.
335.525 1  3 0 0 0. 0. 0. 0.
335.600 1  4 0 0 0. 0. 0. 0.
335.602 1  5 0 0 0. 0. 0. 0.
335.603 1  6 0 0 0. 0. 0. 0.
335.604 1  3 0 0 0. 0. 0. 0.
335.605 1  4 0 0 0. 0. 0. 0.
335.606 1  5 0 0 0. 0. 0. 0.
336.514 1  3 0 0 0. 0. 0. 0.
336.515 1  4 0 0 0. 0. 0. 0.
336.598 1  5 0 0 0. 0. 0. 0.
336.598 1  6 0 0 0. 0. 0. 0.
336.598 1  3 0 0 0. 0. 0. 0.
336.598 1  4 0 0 0. 0. 0. 0.
336.598 1  5 0 0 0. 0. 0. 0.
337.598 1  3 0 0 0. 0. 0. 0.
337.599 1  4 0 0 0. 0. 0. 0.
337.600 1  5 0 0 0. 0. 0. 0.
337.601 1  6 0 0 0. 0. 0. 0.
337.602 1  3 0 0 0. 0. 0. 0.
337.603 1  4 0 0 0. 0. 0. 0.
337.604 1  5 0 0 0. 0. 0. 0.
368.164 1  3 0 0 0. 0. 0. 0.
368.165 1  4 0 0 0. 0. 0. 0.
368.166 1  5 0 0 0. 0. 0. 0.
368.167 1  6 0 0 0. 0. 0. 0.
368.263 1  3 0 0 0. 0. 0. 0.
368.264 1  4 0 0 0. 0. 0. 0.
368.264 1  5 0 0 0. 0. 0. 0.
369.198 1  3 0 0 0. 0. 0. 0.
369.200 1  4 0 0 0. 0. 0. 0.
369.201 1  5 0 0 0. 0. 0. 0.
369.203 1  6 0 0 0. 0. 0. 0.
369.204 1  3 0 0 0. 0. 0. 0.
369.207 1  4 0 0 0. 0. 0. 0.
369.212 1  5 0 0 0. 0. 0. 0.
370.152 1  3 0 0 0. 0. 0. 0.
370.152 1  4 0 0 0. 0. 0. 0.
370.154 1  5 0 0 0. 0. 0. 0.
370.277 1  6 0 0 0. 0. 0. 0.
370.277 1  3 0 0 0. 0. 0. 0.
370.277 1  4 0 0 0. 0. 0. 0.
370.278 1  5 0 0 0. 0. 0. 0.
371.156 1  3 0 0 0. 0. 0. 0.
371.156 1  4 0 0 0. 0. 0. 0.
371.275 1  5 0 0 0. 0. 0. 0.
371.275 1  6 0 0 0. 0. 0. 0.
371.276 1  3 0 0 0. 0. 0. 0.
371.276 1  4 0 0 0. 0. 0. 0.
