15.754 6  0 8.036141 0.3 2.410842 2. 0.000439 0.003526
20.239 6  0 8.036141 0.3 2.410842 2. 0.000802 0.006444
24.724 6  249 8.01848 0.35 2.806468 2. 0.001195 0.009601
29.220 6  246 8.02731 0.3 2.408193 2.037037 0.001609 0.012923
33.703 6  244 8.01848 0.325 2.606006 2.029915 0.00201 0.016144
38.246 6  241 8.02731 0.325 2.608876 2.02509 0.00241 0.019355
42.709 6  238 8.02731 0.3 2.408193 2.021605 0.002793 0.022427
47.259 6  236 8.02731 0.325 2.608876 2.01897 0.003197 0.02567
51.702 6  236 8.02731 0.325 2.608876 2.02657 0.00361 0.028979
56.202 6  235 8.02731 0.325 2.608876 2.039216 0.004037 0.032411
60.707 6  235 8.01848 0.35 2.806468 2.049603 0.004469 0.035875
65.173 6  235 8.01848 0.325 2.606006 2.047359 0.004894 0.039279
69.667 6  234 8.01848 0.325 2.606006 2.045455 0.005301 0.042544
74.154 6  235 8.01848 0.325 2.606006 2.042253 0.005705 0.045788
78.658 6  236 8.02731 0.325 2.608876 2.039474 0.00611 0.049036
83.176 6  236 8.02731 0.325 2.608876 2.037037 0.006515 0.052291
87.638 6  235 8.01848 0.325 2.606006 2.034884 0.006921 0.055545
92.094 6  235 8.01848 0.35 2.806468 2.032967 0.007331 0.058831
96.562 6  236 8.01848 0.325 2.606006 2.032408 0.007735 0.062072
101.063 6  236 8.01848 0.325 2.606006 2.030803 0.008132 0.065259
105.568 6  233 8.01848 0.325 2.606006 2.02935 0.008528 0.06844
110.057 6  234 8.01848 0.3 2.405544 2.028028 0.008919 0.071571
114.568 6  235 8.01848 0.325 2.606006 2.02682 0.009317 0.074763
118.996 6  235 8.01848 0.325 2.606006 2.025712 0.009717 0.077978
123.503 6  236 8.01848 0.325 2.606006 2.024691 0.010115 0.081171
127.998 6  234 8.02731 0.325 2.608876 2.023749 0.010513 0.084364
132.467 6  235 8.01848 0.325 2.606006 2.022876 0.010902 0.087485
136.975 6  235 8.01848 0.325 2.606006 2.022065 0.011293 0.09062
141.444 6  234 8.01848 0.325 2.606006 2.021309 0.011694 0.093834
145.933 6  235 8.009649 0.35 2.803377 2.028697 0.012127 0.097307
150.448 6  235 8.02731 0.3 2.408193 2.02849 0.012527 0.100509
154.947 6  236 8.009649 0.375 3.003618 2.030366 0.012926 0.103711
