12.333 6  3 43833655 447806845 0 646123 7 -25 2376 122541000 30 0
12.653 6  3 43833675 447806843 0 646400 3 -24 2376 122541250 30 0
12.845 6  3 43833682 447806844 0 646674 3 -30 2376 122541500 30 0
13.139 6  3 43833699 447806852 0 646953 6 -20 2376 122541750 30 0
13.346 6  3 43833711 447806859 0 647242 11 -21 2376 122542000 30 0
13.639 6  3 43833711 447806857 0 647653 3 -19 2376 122542250 30 0
13.842 6  3 43833708 447806849 0 647993 13 -18 2376 122542500 30 0
14.141 6  3 43833701 447806839 0 648262 12 -18 2376 122542750 30 0
14.339 6  3 43833699 447806834 0 648451 16 -20 2376 122543000 30 0
14.602 6  3 43833701 447806831 0 648620 3 -25 2376 122543250 30 0
14.848 6  3 43833703 447806826 0 648775 10 -16 2376 122543500 30 0
15.157 6  3 43833703 447806825 0 649035 2 -12 2376 122543750 30 0
15.340 6  3 43833702 447806826 0 649229 5 -8 2376 122544000 30 0
15.635 6  3 43833700 447806823 0 649370 15 -9 2376 122544250 30 0
15.836 6  3 43833703 447806822 0 649569 5 -4 2376 122544500 30 0
16.140 6  3 43833705 447806822 0 649741 10 -9 2376 122544750 30 0
16.334 6  3 43833708 447806823 0 649906 12 -2 2376 122545000 30 0
16.640 6  3 43833707 447806823 0 650080 7 -11 2376 122545250 30 0
16.831 6  3 43833697 447806819 0 650272 4 -2 2376 122545500 30 0
17.136 6  3 43833697 447806818 0 650451 10 -7 2376 122545750 30 0
17.339 6  3 43833685 447806812 0 650641 0 -8 2376 122546000 30 0
17.588 6  3 43833676 447806807 0 650852 12 -3 2376 122546250 30 0
17.841 6  3 43833669 447806804 0 651030 8 6 2376 122546500 30 0
18.086 6  3 43833664 447806800 0 651232 1 6 2376 122546750 30 0
18.328 6  3 43833661 447806796 0 651400 3 -2 2376 122547000 30 0
18.630 6  3 43833658 447806791 0 651524 1 -5 2376 122547250 30 0
18.827 6  3 43833656 447806785 0 651653 2 -9 2376 122547500 30 0
19.137 6  3 43833654 447806781 0 651755 11 -12 2376 122547750 30 0
19.334 6  3 43833650 447806775 0 651894 7 -13 2376 122548000 30 0
19.633 6  3 43833649 447806771 0 652034 10 -5 2376 122548250 30 0
19.839 6  3 43833644 447806764 0 652142 15 -15 2376 122548500 30 0
20.136 6  3 43833644 447806761 0 652217 1 -13 2376 122548750 30 0
20.323 6  3 43833638 447806756 0 652311 4 -13 2376 122549000 30 0
20.625 6  3 43833632 447806751 0 652404 8 -11 2376 122549250 30 0
20.833 6  3 43833629 447806747 0 652519 7 -2 2376 122549500 30 0
21.140 6  3 43833628 447806743 0 652655 8 -5 2376 122549750 30 0
21.325 6  3 43833628 447806741 0 652763 4 -7 2376 122550000 30 0
21.625 6  3 43833625 447806738 0 652929 11 -2 2376 122550250 30 0
21.817 6  3 43833622 447806733 0 653036 4 0 2376 122550500 30 0
22.126 6  3 43833617 447806731 0 653137 2 -2 2376 122550750 30 0
22.313 6  3 43833613 447806727 0 653222 4 0 2376 122551000 30 0
22.585 6  3 43833608 447806721 0 653323 3 0 2376 122551250 30 0
22.806 6  3 43833604 447806715 0 653402 3 -5 2376 122551500 30 0
23.118 6  3 43833604 447806715 0 653402 3 -6 2376 122551500 30 0
23.310 6  3 43833596 447806706 0 653476 15 0 2376 122552000 30 0
23.636 6  3 43833596 447806706 0 653476 16 0 2376 122552000 30 0
23.811 6  3 43833593 447806704 0 653546 8 -6 2376 122552250 30 0
24.113 6  3 43833591 447806702 0 653569 6 -1 2376 122552500 30 0
24.312 6  3 43833589 447806699 0 653605 9 -3 2376 122552750 30 0
24.619 6  3 43833591 447806700 0 653681 6 -3 2376 122553000 30 0
24.809 6  3 43833591 447806702 0 653715 11 -2 2376 122553250 30 0
25.117 6  3 43833594 447806702 0 653759 12 -3 2376 122553500 30 0
25.308 6  3 43833602 447806700 0 653785 20 -5 2376 122553750 30 0
25.609 6  3 43833607 447806699 0 653824 10 -2 2376 122554000 30 0
25.798 6  3 43833610 447806697 0 653886 1 2 2376 122554250 30 0
26.122 6  3 43833620 447806701 0 653847 5 0 2376 122554500 30 0
26.311 6  3 43833630 447806706 0 653772 8 -2 2376 122554750 30 0
26.612 6  3 43833636 447806710 0 653698 26 -2 2376 122555000 30 0
26.807 6  3 43833643 447806714 0 653658 15 -5 2376 122555250 30 0
27.108 6  3 43833659 447806721 0 653583 28 -3 2376 122555500 30 0
