12.264 6  9725 -1098 -3051 -20971 15728 -7352802 -495 3042 -8399
12.365 6  9710 -1070 -3419 -15728 31457 -7783160 -505 3047 -8413
12.486 6  9710 -1070 -3808 -15728 31457 -8213413 -510 3037 -8413
12.650 6  9704 -1021 -4219 10485 5242 -8644218 -495 3013 -8428
12.688 6  9704 -1021 -4650 10485 5242 -9074995 -491 3018 -8409
12.779 6  9704 -1021 -5103 10485 5242 -9505505 -515 3018 -8394
12.876 6  9704 -1003 -5577 15728 5242 -9936407 -491 3018 -8394
12.977 6  9704 -1003 -6071 15728 5242 -10367343 -520 3023 -8418
13.138 6  9728 -960 -6587 31457 -15728 -10797552 -500 3018 -8423
13.222 6  9728 -960 -7124 31457 -15728 -11227692 -495 3052 -8389
13.270 6  9728 -960 -7681 31457 -15728 -11658506 -505 3032 -8404
13.375 6  9748 -929 -8260 26214 41943 -12088604 -495 3027 -8409
13.468 6  9748 -929 -8860 26214 41943 -12518980 -510 3037 -8394
13.639 6  9738 -926 -9481 15728 -5242 -12949414 -500 3018 -8423
13.703 6  9738 -926 -10122 15728 -5242 -13380516 -471 3057 -8433
13.767 6  9738 -926 -10785 15728 -5242 -13811285 -491 3018 -8413
13.872 6  9720 -936 -11469 31457 62914 -14242096 -500 3013 -8442
13.973 6  9720 -936 -12174 31457 62914 -14672750 -515 2998 -8399
14.141 6  9694 -952 -12900 0 62914 -15103235 -495 3018 -8394
14.167 6  9694 -952 -13647 0 62914 -15534250 -505 3037 -8428
14.262 6  9694 -952 -14415 0 62914 -15964693 -476 3032 -8433
14.369 6  9681 -957 -15204 26214 78643 -16395473 -486 3052 -8413
14.475 6  9681 -957 -16014 26214 78643 -16826312 -510 3008 -8418
14.602 6  9674 -954 -16845 -15728 5242 -17256902 -495 3047 -8413
14.672 6  9674 -954 -17697 -15728 5242 -17688268 -491 2998 -8409
14.767 6  9674 -954 -18570 -15728 5242 -18118530 -495 3042 -8433
14.861 6  9661 -947 -19464 -26214 47185 -18549434 -481 3008 -8413
14.966 6  9661 -947 -20379 -26214 47185 -18980592 -491 2998 -8418
15.156 6  9661 -947 -21316 -26214 47185 -19411470 -491 3057 -8428
15.181 6  9661 -947 -22273 0 10485 -19842494 -476 3047 -8399
15.257 6  9661 -947 -23251 0 10485 -20273072 -520 3018 -8413
15.369 6  9661 -952 -24251 10485 26214 -20703214 -476 3008 -8385
15.463 6  9661 -952 -25271 10485 26214 -21133862 -476 3003 -8370
15.634 6  9653 -954 -26312 5242 73400 -21564578 -520 3023 -8413
15.698 6  9653 -954 -27375 5242 73400 -21995198 -510 3013 -8418
15.769 6  9653 -954 -28458 5242 73400 -22426000 -491 3018 -8413
15.866 6  9648 -949 -29563 20971 15728 -22856818 -510 3027 -8399
15.971 6  9648 -949 -30688 20971 15728 -23287714 -491 3018 -8418
16.139 6  9651 -942 -31835 41943 31457 -23718586 -510 3027 -8442
16.191 6  9651 -942 -33002 41943 31457 -24149152 -510 3062 -8413
16.260 6  9651 -942 -34191 41943 31457 -24579840 -530 3023 -8423
16.365 6  9653 -934 -35401 26214 52428 -25010828 -495 3027 -8409
16.469 6  9653 -934 -36632 26214 52428 -25449666 7 1 -8681
16.639 6  9653 -934 -37884 26214 52428 -25893436 -31 1 -8646
16.666 6  9653 -939 -39158 36700 10485 -26337144 28 -8 -8653
16.750 6  9653 -939 -40454 36700 10485 -26780938 -6 -10 -8667
16.863 6  9643 -960 -41771 10485 15728 -27224656 13 34 -8666
16.968 6  9643 -960 -43110 10485 15728 -27668422 33 5 -8671
17.136 6  9643 -960 -44471 10485 15728 -28111936 -1 -19 -8644
17.162 6  9643 -967 -45853 36700 41943 -28555766 -1 24 -8667
17.252 6  9643 -967 -47257 36700 41943 -28999442 18 -5 -8672
17.355 6  9625 -993 -48683 0 0 -29442980 9 -16 -8659
17.458 6  9625 -993 -50131 0 0 -29886534 13 5 -8670
17.588 6  9625 -993 -51599 0 0 -30329948 -5 4 -8665
17.673 6  9612 -1016 -53090 20971 -68157 -30773384 0 -41 -8633
17.770 6  9612 -1016 -54603 20971 -68157 -31217382 4 -32 -8656
17.857 6  9605 -1034 -56137 20971 -41943 -31660944 -16 -6 -8666
17.953 6  9605 -1034 -57692 20971 -41943 -32104688 13 29 -8666
18.086 6  9605 -1034 -59270 20971 -41943 -32548438 8 -30 -8670
18.185 6  9594 -1047 -60869 -10485 0 -32992178 13 10 -8670
18.246 6  9594 -1047 -62489 -10485 0 -33435858 -5 6 -8646
18.359 6  9584 -1054 -64132 10485 5242 -33879336 -16 -15 -8668
18.463 6  9584 -1054 -65796 10485 5242 -34322672 8 8 -8655
18.629 6  9584 -1054 -67482 10485 5242 -34766032 -20 9 -8636
18.670 6  9569 -1062 -69189 -10485 0 -35209220 -36 -13 -8682
18.748 6  9569 -1062 -70918 -10485 0 -35652952 -30 25 -8637
18.855 6  9556 -1067 -72668 -10485 5242 -36096612 -26 4 -8665
18.956 6  9556 -1067 -74441 -10485 5242 -36540376 3 11 -8681
19.136 6  9556 -1067 -76234 -10485 5242 -36983756 33 1 -8678
19.162 6  9548 -1072 -78050 31457 47185 -37427248 23 -3 -8677
19.245 6  9548 -1072 -79887 31457 47185 -37870472 48 2 -8653
19.347 6  9530 -1082 -81746 15728 36700 -38313924 8 2 -8657
19.449 6  9530 -1082 -83627 15728 36700 -38757316 -6 -5 -8666
19.632 6  9530 -1082 -85529 15728 36700 -39200368 24 -37 -8625
19.648 6  9520 -1088 -87453 52428 15728 -39643720 -6 -10 -8667
19.755 6  9520 -1088 -89398 52428 15728 -40086984 19 -3 -8653
19.851 6  9502 -1098 -91365 52428 62914 -40530208 9 13 -8660
19.955 6  9502 -1098 -93354 52428 62914 -40973068 19 -3 -8653
20.135 6  9502 -1098 -95364 52428 62914 -41416280 -5 15 -8644
20.160 6  9495 -1098 -97397 -5242 5242 -41859544 -5 -11 -8634
20.255 6  9495 -1098 -99450 -5242 5242 -42302852 -1 -4 -8652
20.408 6  9479 -1116 -101526 20971 5242 -42746248 14 5 -8641
20.457 6  9479 -1116 -103623 20971 5242 -43189380 -6 15 -8673
20.624 6  9479 -1116 -105741 20971 5242 -43632440 -6 -15 -8634
20.651 6  -12 -15 -107881 41943 -10485 -44075564 -36 -10 -8662
20.740 6  -12 -15 -110043 41943 -10485 -44518456 -11 -7 -8686
20.848 6  -25 -25 -112226 10485 31457 -44961352 4 14 -8634
20.955 6  -25 -25 -114432 10485 31457 -45404376 5 -2 -8628
21.139 6  -25 -25 -116659 10485 31457 -45848096 38 -26 -8694
21.152 6  -30 -25 -118907 5242 41943 -46291604 -1 -15 -8667
21.252 6  -30 -25 -121177 5242 41943 -46735184 14 -7 -8657
21.354 6  -35 -25 -123469 20971 10485 -47178136 -9 -1 -8636
21.495 6  -35 -25 -125782 20971 10485 -47621940 -7 22 -8681
21.625 6  -35 -25 -128117 20971 10485 -48061744 -424 92 -8655
21.677 6  -46 -35 -130474 31457 41943 -48504772 49 19 -8636
21.751 6  -46 -35 -132852 31457 41943 -48948828 33 14 -8698
21.849 6  -56 -43 -135252 -15728 -15728 -49391996 34 13 -8661
21.976 6  -56 -43 -137673 -15728 -15728 -49834720 148 125 -8592
22.125 6  -56 -43 -140116 -15728 -15728 -50278040 -20 6 -8644
22.153 6  -64 -53 -142581 5242 10485 -50720724 14 -19 -8646
22.248 6  -64 -53 -145067 5242 10485 -51163992 -15 -13 -8654
22.343 6  -74 -66 -147575 -15728 20971 -51607292 3 -1 -8663
22.446 6  -74 -66 -150104 -15728 20971 -52050040 3 -10 -8668
22.585 6  -74 -66 -152656 -15728 20971 -52493180 20 21 -8620
22.676 6  -89 -76 -155229 -10485 20971 -52935900 24 -17 -8626
22.732 6  -89 -76 -157823 -10485 20971 -53379040 13 3 -8662
22.837 6  -104 -87 -160440 -10485 10485 -53821872 4 -17 -8660
22.972 6  -104 -87 -163077 -10485 10485 -54265172 -2 19 -8668
23.117 6  -104 -87 -165737 -10485 10485 -54707908 9 -27 -8657
23.144 6  -117 -99 -168418 15728 -15728 -55151032 -6 14 -8640
23.245 6  -117 -99 -171120 15728 -15728 -55593644 -207 -63 -8861
23.340 6  -125 -110 -173845 41943 62914 -56038668 196 -88 -8684
23.474 6  -125 -110 -176590 41943 62914 -56479156 62 197 -8133
23.635 6  -125 -110 -179358 41943 62914 -56923364 68 94 -8651
23.649 6  -133 -115 -182147 31457 26214 -57366520 -66 7 -8686
23.738 6  -133 -115 -184958 31457 26214 -57809692 29 55 -8681
23.842 6  -138 -120 -187791 -10485 31457 -58252584 10 -113 -8811
23.977 6  -138 -120 -190644 -10485 31457 -58695552 194 -96 -8554
24.112 6  -138 -120 -193520 -10485 31457 -59139660 -126 72 -8789
24.142 6  -143 -128 -196418 26214 31457 -59586028 13 212 -8933
24.309 6  -143 -128 -199337 26214 31457 -60028560 15 370 -8846
24.342 6  -140 -120 -202278 26214 -10485 -60473848 101 135 -8949
24.443 6  -140 -120 -205240 26214 -10485 -60913412 -142 275 -8520
24.619 6  -140 -120 -208224 26214 -10485 -61353284 214 95 -8653
24.645 6  -138 -120 -211230 57671 10485 -61799876 -257 193 -8475
24.740 6  -138 -120 -214257 57671 10485 -62237936 -154 485 -8497
24.840 6  -140 -112 -217306 -52428 41943 -62678404 4 383 -8571
24.955 6  -140 -112 -220376 -52428 41943 -63121812 -174 405 -8468
25.117 6  -140 -112 -223468 -52428 41943 -63562440 99 -6 -8565
25.202 6  -143 -94 -226581 31457 94371 -64004552 395 -82 -8710
25.245 6  -143 -94 -229716 31457 94371 -64449176 -69 46 -8779
25.338 6  -145 -81 -232873 20971 41943 -64888468 116 101 -8670
25.479 6  -145 -81 -236051 20971 41943 -65331276 292 230 -8670
25.608 6  -145 -81 -239251 20971 41943 -65774424 -148 -143 -8743
25.670 6  -151 -71 -242472 -5242 0 -66216200 218 16 -8727
25.741 6  -151 -71 -245715 -5242 0 -66662116 -175 -104 -8853
25.829 6  -140 -48 -248980 -5242 -26214 -67102040 60 59 -8739
25.967 6  -140 -48 -252265 -5242 -26214 -67539448 351 167 -8796
26.120 6  -140 -48 -255573 -5242 -26214 -67981960 336 -401 -8649
26.145 6  -128 -20 -258903 31457 -31457 -68427592 140 -640 -8668
26.231 6  -128 -20 -262253 31457 -31457 -68869520 -48 -26 -8481
26.325 6  -117 -7 -265626 -57671 -125829 -69311760 -180 -490 -8652
26.437 6  -117 -7 -269020 -57671 -125829 -69756264 366 211 -8417
26.611 6  -117 -7 -272436 -57671 -125829 -70197504 37 486 -8640
26.638 6  -104 12 -275873 -10485 73400 -70639912 7 219 -8669
26.738 6  -104 12 -279332 -10485 73400 -71082392 285 217 -8438
26.823 6  -87 51 -282812 62914 131071 -71525584 -77 113 -8739
26.968 6  -87 51 -286315 62914 131071 -71967776 69 76 -8656
27.108 6  -87 51 -289839 62914 131071 -72410768 -27 -405 -8646
27.137 6  -66 79 -293384 31457 26214 -72852312 62 -24 -8682
27.304 6  -66 79 -296951 31457 26214 -73295600 8 20 -8703
27.335 6  -48 104 -300540 41943 89128 -73739128 88 13 -8663
27.427 6  -48 104 -304150 41943 89128 -74182040 39 -9 -8679
27.613 6  -48 104 -307782 41943 89128 -74624200 -9 -117 -8661
27.658 6  -30 135 -311436 52428 31457 -75067192 59 -25 -8644
27.734 6  -30 135 -315111 52428 31457 -75509936 5 -25 -8642
27.820 6  -17 151 -318807 5242 -5242 -75953480 39 -49 -8680
27.957 6  -17 151 -322525 5242 -5242 -76396488 34 -34 -8653
28.109 6  -17 151 -326265 5242 -5242 -76839680 73 -15 -8676
28.158 6  -15 168 -330028 -20971 0 -77282624 24 -10 -8644
28.233 6  -15 168 -333810 -20971 0 -77724800 6 18 -8599
28.326 6  -7 192 -337616 -15728 73400 -78168104 112 15 -8677
28.436 6  -7 192 -341442 -15728 73400 -78611760 23 9 -8694
28.611 6  -7 192 -345290 -15728 73400 -79054128 291 -34 -8604
28.624 6  5 217 -349160 15728 0 -79497056 108 -228 -8660
28.733 6  5 217 -353051 15728 0 -79940296 65 -164 -8659
28.816 6  17 250 -356964 -5242 104857 -80382960 75 -43 -8615
28.959 6  17 250 -360899 -5242 104857 -80826488 -54 -83 -8612
29.106 6  17 250 -364856 -5242 104857 -81268056 98 -315 -8738
29.155 6  17 271 -368833 -15728 15728 -81710576 160 -182 -8610
29.267 6  17 271 -372832 -15728 15728 -82153520 15 -182 -8668
29.326 6  23 286 -376854 -5242 31457 -82596744 84 -71 -8652
29.450 6  23 286 -380896 -5242 31457 -83039800 15 -69 -8631
29.600 6  23 286 -384961 -5242 31457 -83481976 63 -15 -8667
29.627 6  30 304 -389047 20971 10485 -83925168 29 -19 -8663
29.734 6  30 304 -393154 20971 10485 -84368136 63 -28 -8669
29.814 6  43 325 -397284 10485 20971 -84810712 45 -14 -8638
