12.185 6  6 -1 12 0 2643 61 0 1774. 41. 1 30.51
12.917 6  6 -1 13 0 4329 99 0 1686. 38. 4 30.51
13.917 6  6 -1 14 0 6114 143 0 1785. 44. 8 30.51
14.918 6  6 -1 15 0 7884 186 0 1770. 43. 12 30.51
15.919 6  6 -1 16 0 9695 231 0 1811. 45. 17 51.26
16.919 6  6 -1 17 0 11354 269 0 1659. 38. 21 51.26
17.920 6  6 -1 18 0 13095 310 0 1741. 41. 25 51.26
18.927 6  6 -1 19 0 14740 348 0 1645. 38. 29 51.26
19.927 6  6 -1 20 0 16513 391 0 1773. 43. 33 51.26
20.927 6  6 -1 21 0 18310 435 0 1797. 44. 38 72.84
21.927 6  6 -1 22 0 20031 475 0 1721. 40. 42 72.84
22.928 6  6 -1 23 0 21849 519 0 1818. 44. 46 72.84
23.929 6  6 -1 24 0 23671 562 0 1822. 43. 50 72.84
24.929 6  6 -1 25 0 25591 610 0 1920. 48. 54 72.84
25.930 6  6 -1 26 0 27450 656 0 1859. 46. 59 105.29
26.931 6  6 -1 27 0 29325 703 0 1875. 47. 63 105.29
27.946 6  6 -1 28 0 31261 751 0 1936. 48. 67 105.29
28.946 6  6 -1 29 0 32983 792 0 1722. 41. 71 105.29
29.948 6  6 -1 30 0 34875 839 0 1892. 47. 75 105.29
30.947 6  6 -1 31 0 36772 885 0 1897. 46. 80 -4895.73
31.947 6  6 -1 32 0 38655 930 0 1883. 45. 84 -4895.73
32.948 6  6 -1 33 0 40333 969 0 1678. 39. 88 -4895.73
33.948 6  6 -1 34 0 42340 1019 0 2007. 50. 92 -4895.73
34.949 6  6 -1 35 0 44204 1064 0 1864. 45. 96 -4895.73
35.960 6  6 -1 36 0 46000 1107 0 1796. 43. 101 32.56
36.961 6  6 -1 37 0 47788 1150 0 1788. 43. 105 32.56
37.961 6  6 -1 38 0 49557 1192 0 1769. 42. 109 32.56
38.962 6  6 -1 39 0 51399 1236 0 1842. 44. 113 32.56
39.962 6  6 -1 40 0 53211 1280 0 1812. 44. 117 32.56
40.962 6  6 -1 41 0 54991 1323 0 1780. 43. 122 30.65
41.962 6  6 -1 42 0 56861 1368 0 1870. 45. 126 30.65
42.963 6  6 -1 43 0 58714 1413 0 1853. 45. 130 30.65
43.964 6  6 -1 44 0 60512 1456 0 1798. 43. 134 30.65
44.964 6  6 -1 45 0 62243 1496 0 1731. 40. 138 30.65
45.964 6  6 -1 46 0 64078 1540 0 1835. 44. 143 40.96
46.965 6  6 -1 47 0 65927 1585 0 1849. 45. 147 40.96
48.246 6  6 -1 48 0 67714 1627 0 1787. 42. 151 40.96
48.966 6  6 -1 49 0 69533 1671 0 1819. 44. 156 40.96
49.966 6  6 -1 50 0 71372 1716 0 1839. 45. 162 40.96
50.967 6  6 -1 51 0 73110 1757 0 1738. 41. 169 23.88
51.968 6  6 -1 52 0 75033 1804 0 1923. 47. 175 23.88
52.968 6  6 -1 53 0 76864 1848 0 1831. 44. 181 23.88
53.969 6  6 -1 54 0 78558 1887 0 1694. 39. 187 23.88
54.970 6  6 -1 55 0 80407 1932 0 1849. 45. 193 23.88
55.970 6  6 -1 56 0 82232 1977 0 1825. 45. 200 113.24
56.970 6  6 -1 57 0 84096 2021 0 1864. 44. 206 113.24
57.971 6  6 -1 58 0 85896 2064 0 1800. 43. 212 113.24
58.971 6  6 -1 59 0 87666 2106 0 1770. 42. 218 113.24
59.972 6  6 -1 60 0 89398 2146 0 1732. 40. 224 113.24
60.974 6  6 -1 61 0 91298 2193 0 1900. 47. 231 376.65
61.973 6  6 -1 62 0 93318 2241 0 2020. 48. 237 376.65
62.975 6  6 -1 63 0 94847 2276 0 1529. 35. 243 376.65
63.977 6  6 -1 64 0 96822 2323 0 1975. 47. 249 376.65
64.978 6  6 -1 65 0 98415 2361 0 1593. 38. 255 376.65
65.978 6  6 -1 66 0 100249 2405 0 1834. 44. 262 84.54
66.979 6  6 -1 67 0 102147 2449 0 1898. 44. 268 84.54
67.979 6  6 -1 68 0 103810 2490 0 1663. 41. 274 84.54
68.980 6  6 -1 69 0 105645 2533 0 1835. 43. 280 84.54
69.980 6  6 -1 70 0 107516 2579 0 1871. 46. 286 84.54
70.981 6  6 -1 71 0 109583 2630 0 2067. 51. 293 82.68
71.982 6  6 -1 72 0 111280 2668 0 1697. 38. 299 82.68
72.982 6  6 -1 73 0 113187 2714 0 1907. 46. 305 82.68
73.983 6  6 -1 74 0 115036 2759 0 1849. 45. 311 82.68
74.984 6  6 -1 75 0 116735 2799 0 1699. 40. 317 82.68
75.984 6  6 -1 76 0 118516 2840 0 1781. 41. 324 64.36
76.984 6  6 -1 77 0 120280 2883 0 1764. 43. 330 64.36
77.985 6  6 -1 78 0 122157 2926 0 1877. 43. 336 64.36
78.985 6  6 -1 79 0 124056 2973 0 1899. 47. 342 64.36
79.986 6  6 -1 80 0 125635 3011 0 1579. 38. 348 64.36
80.986 6  6 -1 81 0 127706 3061 0 2071. 50. 355 122.03
81.987 6  6 -1 82 0 129579 3106 0 1873. 45. 361 122.03
82.987 6  6 -1 83 0 131415 3151 0 1836. 45. 367 122.03
83.988 6  6 -1 84 0 133185 3192 0 1770. 41. 373 122.03
84.988 6  6 -1 85 0 134939 3235 0 1754. 43. 379 122.03
85.988 6  6 -1 86 0 136722 3278 0 1783. 43. 386 94.76
86.989 6  6 -1 87 0 138411 3318 0 1689. 40. 392 94.76
