12.333 6  485061625 -31598761 411667186 404509901 -37271988 696359 646123 -17 8 -18 893 48 122541000 136 14 3 1
12.648 6  485061649 -31598743 411667202 404509899 -37271965 696636 646400 -20 3 -14 859 49 122541250 136 14 3 1
12.844 6  485061670 -31598738 411667220 404509900 -37271957 696910 646674 -25 3 -17 829 49 122541500 136 14 3 1
13.137 6  485061687 -31598722 411667245 404509907 -37271937 697190 646953 -19 -1 -8 801 48 122541750 136 14 3 1
13.343 6  485061704 -31598711 411667270 404509914 -37271923 697479 647242 -19 10 -9 776 50 122542000 136 14 3 1
13.639 6  485061738 -31598712 411667294 404509912 -37271922 697889 647653 -17 1 -10 754 48 122542250 136 14 3 1
13.841 6  485061768 -31598718 411667310 404509905 -37271926 698229 647993 -17 14 -7 734 51 122542500 136 14 3 1
14.140 6  485061795 -31598726 411667320 404509896 -37271934 698498 648262 -13 13 -11 716 49 122542750 136 14 3 1
14.338 6  485061812 -31598729 411667328 404509891 -37271936 698687 648451 -18 17 -9 699 51 122543000 136 14 3 1
14.601 6  485061827 -31598729 411667337 404509888 -37271934 698856 648620 -17 3 -18 685 48 122543250 140 13 3 1
14.845 6  485061842 -31598727 411667343 404509884 -37271931 699011 648775 -9 10 -14 671 46 122543500 140 13 3 1
15.155 6  485061842 -31598727 411667343 404509884 -37271931 699011 648775 -9 10 -14 671 46 122543500 140 13 3 1
15.339 6  485061877 -31598731 411667373 404509884 -37271933 699465 649229 -8 6 -4 646 49 122544000 140 13 3 1
15.631 6  485061889 -31598733 411667380 404509881 -37271935 699606 649370 -7 15 -5 634 54 122544250 136 14 3 1
15.835 6  485061905 -31598732 411667391 404509880 -37271932 699805 649569 -6 4 0 624 52 122544500 140 13 3 1
16.139 6  485061918 -31598730 411667403 404509880 -37271929 699977 649741 -12 7 0 614 51 122544750 140 13 3 1
16.333 6  485061918 -31598730 411667403 404509880 -37271929 699977 649741 -12 7 0 614 51 122544750 140 13 3 1
16.639 6  485061930 -31598728 411667414 404509881 -37271926 700142 649906 -5 11 3 604 61 122545000 140 13 3 1
16.831 6  485061943 -31598730 411667426 404509881 -37271927 700316 650080 -13 3 -2 595 46 122545250 140 13 3 1
17.135 6  485061960 -31598740 411667435 404509878 -37271938 700508 650272 -4 4 0 586 53 122545500 136 14 3 1
17.339 6  485061974 -31598743 411667447 404509877 -37271939 700687 650451 -10 9 1 578 53 122545750 140 13 3 1
17.588 6  485061992 -31598755 411667454 404509871 -37271953 700877 650641 -7 1 -6 570 48 122546000 136 14 3 1
17.840 6  485062010 -31598765 411667464 404509867 -37271963 701088 650852 -6 -12 1 564 55 122546250 140 13 3 1
18.086 6  485062025 -31598773 411667473 404509864 -37271971 701266 651030 1 -8 7 556 45 122546500 140 13 3 1
