Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	GVF:p	GVF:ke	GVF:s	GVF:traj	GVF:error	GPS_SOL:numSV	GPS_SOL:PDOP	GPS_SOL:Sacc	GPS_SOL:Pacc	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
20.223	09:01:41.223	40.451435335	-3.729018506	-1217	1570	-701	1312198	-461373	-262143	3683	-276	-128	-0.071839	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205319750	21	529	0	0	0	649869	700104	-37290207	404514361	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	20.529598	6	320	21	529	0.044359	4.219704	-3.12278
20.473	09:01:41.473	40.451435141	-3.729020745	1397	326	-769	1353992	-408944	20971	3846	-312	-76	-0.071839	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205319750	21	529	0	0	0	649869	700104	-37290207	404514361	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	20.529598	6	320	21	529	0.066196	4.213279	3.136229
20.723	09:01:41.723	40.451436933	-3.729022297	210	-543	2	1375004	-346029	-41943	4012	-340	-17	-0.069659	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205320250	14	499	0	0	0	650918	701154	-37290236	404514399	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	21.898579	6	320	21	529	0.054952	4.255479	3.135976
20.973	09:01:41.973	40.451438997	-3.729023617	-154	190	-18	1384167	-330301	-267386	4181	-366	12	-0.069659	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205320500	22	487	0	0	0	651393	701629	-37290248	404514410	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	21.898579	6	320	21	529	0.061247	4.272071	-3.138669
21.223	09:01:42.223	40.451440070	-3.729024808	524	-119	297	1437402	-157286	-136314	4353	-384	25	-0.068853	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205320500	22	487	0	0	0	651393	701629	-37290248	404514410	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	22.437637	6	320	21	529	0.05726	4.244408	3.135026
21.473	09:01:42.473	40.451440606	-3.729025639	200	-96	-203	1455878	-183500	-62914	4529	-396	33	-0.068853	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205321000	16	464	0	0	0	651990	702226	-37290262	404514418	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	22.437637	6	320	21	529	0.059564	4.230158	-3.139493
21.723	09:01:42.723	40.451440872	-3.729026231	118	-97	-365	1480226	-115343	-26214	4708	-412	30	-0.068744	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205321250	25	454	0	0	0	652039	702275	-37290269	404514417	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	22.51223	6	320	21	529	0.065218	4.231283	-3.137609
21.973	09:01:42.973	40.451440777	-3.729026938	355	-61	-152	1509965	-104857	-99614	4890	-424	7	-0.068744	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205321250	25	454	0	0	0	652039	702275	-37290269	404514417	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	22.51223	6	320	21	529	0.061127	4.217927	-3.135233
22.223	09:01:43.223	40.451439873	-3.729027518	242	-100	10	1538891	20971	10485	5076	-427	-7	-0.069422	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205321750	41	435	0	0	0	651826	702062	-37290277	404514403	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	22.054918	6	320	41	435	0.063332	4.198337	-3.136747
22.473	09:01:43.473	40.451439331	-3.729027748	214	-137	63	1567825	0	31457	5266	-432	-25	-0.069422	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205322000	36	426	0	0	0	651664	701899	-37290278	404514397	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	22.054918	6	320	41	435	0.063775	4.199429	-3.136841
22.723	09:01:43.723	40.451438790	-3.729027860	194	-161	80	1596292	26214	5242	5459	-435	-46	-0.070157	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205322000	36	426	0	0	0	651664	701899	-37290278	404514397	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	21.574438	6	320	41	435	0.064092	4.200416	-3.137004
22.973	09:01:43.973	40.451438068	-3.729027970	208	-151	85	1625939	-20971	0	5655	-440	-74	-0.070157	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	320	205322500	33	410	0	0	0	651171	701406	-37290282	404514380	0	0	0	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	21.574438	6	320	41	435	0.06447	4.201551	-3.136997
