Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	INS_REF:baro_qfe	INS_REF:hmsl0	INS_REF:alt0	INS_REF:lon0	INS_REF:lat0	INS_REF:ecef_z0	INS_REF:ecef_y0	INS_REF:ecef_x0	GVF:p	GVF:ke	GVF:s	GVF:traj	GVF:error	GPS_SOL:numSV	GPS_SOL:PDOP	GPS_SOL:Sacc	GPS_SOL:Pacc	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
9.769	09:15:23.769	40.451602747	-3.728843184	-7501	633	4511	-22400	891265	904546	0	3821	6941	-0.023094	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206142750	25	234	164	146	-118	654776	705012	-37288431	404516037	411672932	-31612437	485056964	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	207.339142	6	193	29	236	-0.392292	0.528904	0.038037
10.019	09:15:24.019	40.451602747	-3.728843184	-9143	3794	-5696	-57472	778055	885573	0	3907	7079	-0.022467	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206142750	25	234	164	146	-118	654776	705012	-37288431	404516037	411672932	-31612437	485056964	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.133133	6	193	29	236	-0.382407	0.519096	0.033517
10.269	09:15:24.269	40.451612432	-3.728835859	-5065	594	-2980	-89344	788965	998519	0	3979	7216	-0.022467	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206143250	28	232	182	131	-122	654733	704969	-37288358	404516134	411673012	-31612371	485056895	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	219.133133	6	193	29	236	-0.371304	0.450685	0.058996
10.519	09:15:24.519	40.451617589	-3.728832495	-5736	3951	2807	-150656	769620	1019005	0	4053	7365	-0.021865	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206143500	28	232	176	124	-139	654677	704913	-37288325	404516185	411673051	-31612340	485056855	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	231.413544	9	148	28	232	-0.360864	0.417653	0.072815
10.769	09:15:24.769	40.451622743	-3.728829484	-5764	1150	-3589	-89856	730285	1029906	0	4119	7516	-0.021865	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206143750	28	231	181	113	-144	654609	704845	-37288294	404516237	411673091	-31612311	485056814	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	231.413544	9	148	28	232	-0.35828	0.380708	0.083314
11.019	09:15:25.019	40.451628256	-3.728826713	-6018	-2122	-648	501376	652712	1123784	0	4178	7670	-0.021265	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206144000	27	231	192	110	-148	654533	704769	-37288267	404516292	411673132	-31612285	485056771	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	244.715225	9	148	28	232	-0.368286	0.419282	0.092964
11.269	09:15:25.269	40.451633591	-3.728823469	-11958	-3527	7124	535424	553298	1128638	0	4252	7818	-0.021265	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206144250	29	230	178	140	-121	654493	704729	-37288234	404516345	411673174	-31612254	485056732	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	258.359009	9	148	28	232	-0.396684	0.717618	0.010834
11.519	09:15:25.519	40.451638215	-3.728818920	755	-473	-2106	54400	576351	1098191	0	4353	7970	-0.020698	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206144500	28	230	139	187	-112	654437	704673	-37288189	404516391	411673210	-31612214	485056697	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	258.359009	9	148	28	232	-0.394326	0.894571	-0.076658
11.769	09:15:25.769	40.451642213	-3.728813420	-7176	3677	-7473	-149504	874248	934235	0	4458	8067	-0.020698	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206144750	28	230	137	211	-88	654425	704661	-37288134	404516431	411673243	-31612165	485056670	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	271.417023	9	148	28	232	-0.395605	0.785033	-0.067499
12.019	09:15:26.019	40.451646125	-3.728807448	-10737	8147	-4758	-109440	1081793	808183	0	4594	8182	-0.020196	0.17613	-117.875641	-246.582184	-63.519115	1000.	600.	1400.	0.	-426.920166	-0.17613	0.	1	3	9	148	206145000	25	230	137	213	-102	654399	704635	-37288074	404516471	411673275	-31612112	485056642	0.	0	702390	-37290189	404513595	411670698	-31614026	485058423	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	271.417023	9	148	28	232	-0.387289	0.674884	-0.029537
