Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	GVF:p	GVF:ke	GVF:s	GVF:traj	GVF:error	GPS_SOL:numSV	GPS_SOL:PDOP	GPS_SOL:Sacc	GPS_SOL:Pacc	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
7.720	09:15:21.720	40.451793167	-3.728419040	2345	-163	-2538	104958504	833617	-927988	21848108	12789	10050	-0.04183	2.418157	-100.278854	-585.420288	-1920.	1000.	600.	1400.	-0.360511	194.300781	-0.418157	2.	1	3	24	108	206140750	10	30	0	0	0	654315	704551	-37284190	404517941	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	0.68927	23	109	11	30	0.047745	2.365888	-3.134943
7.970	09:15:21.970	40.451789233	-3.728414280	3207	-1300	-1071	104988232	828374	-938474	21860912	12892	9937	-0.041912	2.433286	-11.68251	-606.600342	-1920.	1000.	600.	1400.	-0.001676	261.717285	-0.433286	2.	1	3	24	108	206140750	10	30	0	0	0	654315	704551	-37284190	404517941	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	-0.170959	23	109	11	30	0.041194	2.362365	3.141546
8.220	09:15:22.220	40.451789233	-3.728414280	-2335	605	-271	105003560	859831	-954203	21868600	12999	9825	-0.041912	2.433286	-11.68251	-606.600342	-1920.	1000.	600.	1400.	-0.001676	261.717285	-0.433286	2.	1	3	25	114	206141250	9	31	0	0	0	654375	704611	-37284094	404517862	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	-0.170959	23	109	11	30	0.058412	2.367725	-3.137221
8.470	09:15:22.470	40.451785300	-3.728409403	410	-1753	-1089	105047040	870317	-943717	21881418	13107	9712	-0.041912	2.433286	-11.68251	-606.600342	-1920.	1000.	600.	1400.	-0.001676	261.717285	-0.433286	2.	1	3	25	114	206141250	9	31	0	0	0	654375	704611	-37284094	404517862	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	-0.303314	23	109	11	30	0.037378	2.380827	-3.135985
8.720	09:15:22.720	40.451777165	-3.728399409	-4822	-1086	-271	105071360	875560	-917503	21896806	13217	9594	-0.041912	2.433286	-11.68251	-606.600342	-1920.	1000.	600.	1400.	-0.001676	261.717285	-0.433286	2.	1	3	25	114	206141500	9	31	0	0	0	654421	704657	-37284044	404517822	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	-0.303314	23	109	11	30	0.023656	2.398685	3.141181
8.970	09:15:22.970	40.451777165	-3.728399409	1762	427	-382	105100120	875560	-917503	21907064	13217	9594	-0.042495	2.432315	8.535385	-605.240479	-1920.	1000.	600.	1400.	1.51852	283.294922	-0.432315	2.	1	3	24	108	206141750	9	31	0	0	0	654511	704747	-37283994	404517781	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	0.121933	24	108	9	31	0.016983	2.423152	3.138872
9.220	09:15:23.220	40.451772961	-3.728394646	4211	-1901	-2434	105178728	775945	-975174	21922476	13419	9356	-0.042495	2.432315	8.535385	-605.240479	-1920.	1000.	600.	1400.	1.51852	283.294922	-0.432315	2.	1	3	25	108	206142250	9	31	0	0	0	654709	704945	-37283900	404517697	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	0.121933	24	108	9	31	0.035232	2.451697	-3.128932
9.470	09:15:23.470	40.451768756	-3.728390001	-3031	607	1448	105213656	686816	-990903	21935318	13514	9233	-0.04317	2.410165	33.974648	-574.231445	-1920.	1000.	600.	1400.	0.803275	339.743164	-0.410165	2.	1	3	25	108	206142250	9	31	0	0	0	654709	704945	-37283900	404517697	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	0.246094	24	108	9	31	0.064429	2.469572	-3.1099
9.720	09:15:23.720	40.451760071	-3.728381416	2071	-487	-36	105227512	791674	-1053817	21950738	13606	9111	-0.04317	2.410165	33.974648	-574.231445	-1920.	1000.	600.	1400.	0.803275	339.743164	-0.410165	2.	1	3	25	108	206142750	10	31	0	0	0	654768	705004	-37283814	404517610	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	0.246094	24	108	9	31	0.026936	2.477158	-3.133255
9.970	09:15:23.970	40.451755594	-3.728377123	-1391	-2011	-967	105232416	728759	-1043332	21963588	13701	8980	-0.04317	2.410165	33.974648	-574.231445	-1920.	1000.	600.	1400.	0.803275	339.743164	-0.410165	2.	1	3	26	108	206143000	10	31	0	0	0	654783	705019	-37283771	404517565	0	0	0	33.5,23.316406,25.,1.6,5.	0.1	1	6	0.092773	24	108	9	31	0.034155	2.492648	-3.138272
