Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	INS_REF:baro_qfe	INS_REF:hmsl0	INS_REF:alt0	INS_REF:lon0	INS_REF:lat0	INS_REF:ecef_z0	INS_REF:ecef_y0	INS_REF:ecef_x0	GVF_PARAMETRIC:phi	GVF_PARAMETRIC:p	GVF_PARAMETRIC:w	GVF_PARAMETRIC:s	GVF_PARAMETRIC:traj	GVF:p	GVF:ke	GVF:s	GVF:traj	GVF:error	GPS_SOL:numSV	GPS_SOL:PDOP	GPS_SOL:Sacc	GPS_SOL:Pacc	GPS:gps_nb_err	GPS:utm_zone	GPS:itow	GPS:week	GPS:climb	GPS:speed	GPS:alt	GPS:course	GPS:utm_north	GPS:utm_east	GPS:mode
35.292	09:32:37.292	40.451314062	-3.729120502	-8438	-231	-619	-174171840	-31457	5242	-1705306	120	399	-0.062334	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	22	108	293575250	16	92	0	0	0	644565	694801	-37291205	404513150	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.739078,-1.837908	-6.,17.859375,7.019531,29.878906,31.066406,52.257812,53.429688,70.429688,0.,0.,0.,0.,0.,0.,0.,0.	-6e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	22	108	13	92	0	30	293575250	2395	-4	5	644565	3181	447810586	43817390	3
35.542	09:32:37.542	40.451314062	-3.729120502	-8428	-221	-604	-175255680	20971	-15728	-1726624	120	399	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	22	108	293575500	14	92	0	0	0	644543	694779	-37291205	404513150	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.739078,-1.837908	-6.,17.859375,7.019531,29.878906,31.066406,52.257812,53.429688,70.429688,0.,0.,0.,0.,0.,0.,0.,0.	-6e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	22	108	13	92	0	30	293575500	2395	-4	6	644543	3181	447810586	43817390	3
35.792	09:32:37.792	40.451314152	-3.729120385	-8456	-231	-638	-176340448	-20971	0	-1748085	125	401	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	23	108	293575750	17	91	0	0	0	644542	694778	-37291203	404513151	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.737125,-1.837127	6.,19.9375,43.109375,46.679688,21.539062,30.847656,63.148438,55.5,0.,0.,0.,0.,0.,0.,0.,0.	-4e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	22	108	13	92	0	30	293575750	2395	-4	3	644542	3181	447810587	43817391	3
36.042	09:32:38.042	40.451314243	-3.729120386	-8439	-157	-590	-177423456	-36700	-10485	-1769670	125	404	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	22	108	293576000	13	91	0	0	0	644542	694778	-37291203	404513152	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.737125,-1.837127	6.,19.9375,43.109375,46.679688,21.539062,30.847656,63.148438,55.5,0.,0.,0.,0.,0.,0.,0.,0.	-4e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	22	108	13	92	0	30	293576000	2395	-1	6	644542	3181	447810588	43817391	3
36.292	09:32:38.292	40.451314513	-3.729120389	-8428	-196	-624	-178507568	5242	36700	-1791395	125	409	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	21	108	293576250	18	91	0	0	0	644546	694782	-37291203	404513154	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.737125,-1.835955	0.,0.2,0.2,0.5,0.5,0.05,63.148438,55.5,0.,0.,0.,0.,0.,0.,0.,0.	-8e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	22	108	13	92	0	30	293576250	2395	8	8	644546	3181	447810591	43817391	3
36.542	09:32:38.542	40.451314694	-3.729120155	-8443	-206	-638	-179808096	26214	41943	-1817634	135	419	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	21	108	293576500	19	91	0	0	0	644571	694807	-37291201	404513156	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.735172,-1.832049	-6.,17.859375,7.019531,29.878906,31.066406,52.257812,53.429688,70.429688,0.,0.,0.,0.,0.,0.,0.,0.	-2e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	22	108	13	92	0	30	293576500	2395	7	3	644571	3181	447810593	43817393	3
36.792	09:32:38.792	40.451314876	-3.729119921	-8401	-163	-603	-180675040	26214	41943	-1835232	135	419	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	22	108	293576750	19	91	0	0	0	644590	694825	-37291199	404513158	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.735172,-1.832049	-6.,17.859375,7.019531,29.878906,31.066406,52.257812,53.429688,70.429688,0.,0.,0.,0.,0.,0.,0.,0.	-2e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	22	108	13	92	0	30	293576750	2395	11	11	644590	3181	447810595	43817395	3
37.042	09:32:39.042	40.451314967	-3.729119804	-8376	-182	-631	-181541616	-15728	-10485	-1852916	138	424	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	21	108	293577000	19	90	0	0	0	644581	694817	-37291198	404513159	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.732046,-1.828142	6.,19.9375,43.109375,46.679688,21.539062,30.847656,63.148438,55.5,0.,0.,0.,0.,0.,0.,0.,0.	-2e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	21	108	19	90	0	30	293577000	2395	-6	1	644581	3181	447810596	43817396	3
37.292	09:32:39.292	40.451315058	-3.729119687	-8409	-192	-651	-182841616	-15728	-10485	-1879601	138	427	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	21	108	293577250	19	90	0	0	0	644583	694819	-37291197	404513160	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.732046,-1.82697	0.,0.2,0.2,0.5,0.5,0.05,63.148438,55.5,0.,0.,0.,0.,0.,0.,0.,0.	-4e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	21	108	19	90	0	30	293577250	2395	-3	3	644583	3181	447810597	43817397	3
37.542	09:32:39.542	40.451315238	-3.729119689	-8444	-202	-607	-183925520	-20971	-10485	-1901985	140	435	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	20	108	293577500	19	90	0	0	0	644605	694840	-37291196	404513162	0	0	0	0.	645875	696111	-37291262	404513009	411669796	-31614931	485058308	-1.732046,-1.82697	0.,0.2,0.2,0.5,0.5,0.05,63.148438,55.5,0.,0.,0.,0.,0.,0.,0.,0.	-4e-06	1	5	-1.08,-14.42,3.,3.,0.,2.	1.	1	1	27.595999	21	108	19	90	0	30	293577500	2395	-5	3	644605	3181	447810599	43817397	3
