Time	UTC	GPS_lat(deg)	GPS_long(deg)	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROVER_CTRL:curvature	ROVER_CTRL:speed_measured	ROVER_CTRL:d_action	ROVER_CTRL:p_action	ROVER_CTRL:i_action	ROVER_CTRL:kd	ROVER_CTRL:ki	ROVER_CTRL:kp	ROVER_CTRL:delta_sp	ROVER_CTRL:throttle_command	ROVER_CTRL:speed_error	ROVER_CTRL:speed_sp	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	INS_REF:baro_qfe	INS_REF:hmsl0	INS_REF:alt0	INS_REF:lon0	INS_REF:lat0	INS_REF:ecef_z0	INS_REF:ecef_y0	INS_REF:ecef_x0	GVF_PARAMETRIC:phi	GVF_PARAMETRIC:p	GVF_PARAMETRIC:w	GVF_PARAMETRIC:s	GVF_PARAMETRIC:traj	GPS:gps_nb_err	GPS:utm_zone	GPS:itow	GPS:week	GPS:climb	GPS:speed	GPS:alt	GPS:course	GPS:utm_north	GPS:utm_east	GPS:mode	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
86.991	07:34:25.991	40.451418684	-3.728858885	-7319	7117	6181	-547072	1968843	-558380	0	3862	-309	-0.050931	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200084500	46	838	-45	363	45	654363	704599	-37288479	404514189	411671344	-31612562	485058258	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	0.484836,-0.675552	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,60.976562,41.169998,0.,0.,0.,0.,0.,0.,0.	-0.002117	1	5	0	30	200084250	2382	-18	391	654264	940	447811729	43819618	3	0.083845	1.622241	-0.089239
87.241	07:34:26.241	40.451417943	-3.728847909	-4936	7693	5488	-483456	1861634	-537692	0	4080	-310	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200084750	60	838	19	324	-5	654392	704628	-37288379	404514192	411671348	-31612477	485058264	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	0.484836,-0.675552	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,60.976562,41.169998,0.,0.,0.,0.,0.,0.,0.	-0.002117	1	5	0	30	200084500	2382	-13	368	654363	958	447811720	43819711	3	0.115794	1.433312	-0.118077
87.491	07:34:26.491	40.451418276	-3.728837889	-2394	13415	-2641	-349568	1695650	-249931	0	4267	-298	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200084750	60	838	19	324	-5	654392	704628	-37288379	404514192	411671348	-31612477	485058264	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	0.663742,-0.686098	7.,5.65,43.009998,40.880001,4.77,51.93,41.279999,9.6875,25.860001,0.,0.,0.,0.,0.,0.,0.	-0.001911	1	5	0	30	200084750	2382	-8	325	654392	897	447811723	43819796	3	0.097553	1.24171	-0.142688
87.741	07:34:26.741	40.451418600	-3.728829401	-2538	3902	-2514	-121984	1596512	124420	0	4440	-230	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200085250	113	838	112	282	-96	654110	704345	-37288214	404514219	411671353	-31612335	485058232	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	0.800852,-0.662661	0.,0.8,0.8,0.5,0.5,0.05,41.279999,9.6875,25.860001,0.,0.,0.,0.,0.,0.,0.	-0.001565	1	5	0	30	200085000	2382	-17	300	654235	827	447811726	43819868	3	0.086904	1.194292	-0.13741
87.991	07:34:26.991	40.451420993	-3.728821408	-2878	1272	2297	-163200	1550162	479612	0	4605	-120	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200085500	121	837	138	280	-131	654022	704258	-37288136	404514258	411671380	-31612267	485058202	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	0.800852,-0.662661	0.,0.8,0.8,0.5,0.5,0.05,41.279999,9.6875,25.860001,0.,0.,0.,0.,0.,0.,0.	-0.001565	1	5	0	30	200085250	2382	-14	318	654110	694	447811752	43819936	3	0.089511	1.154494	-0.132896
88.241	07:34:27.241	40.451424825	-3.728813666	1367	3102	87	-149888	1402669	672517	0	4754	-23	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200085500	121	837	138	280	-131	654022	704258	-37288136	404514258	411671380	-31612267	485058202	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	0.86882,-0.61188	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,60.976562,41.169998,0.,0.,0.,0.,0.,0.,0.	-0.00142	1	5	0	30	200085500	2382	-24	337	654022	598	447811794	43820002	3	0.089379	1.085794	-0.141093
88.491	07:34:27.491	40.451427840	-3.728806977	-853	2565	-176	-152064	1314535	760470	0	4880	82	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200086000	118	830	156	214	-123	653778	704014	-37288009	404514325	411671421	-31612155	485058142	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	0.86882,-0.61188	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,60.976562,41.169998,0.,0.,0.,0.,0.,0.,0.	-0.00142	1	5	0	30	200085750	2382	-9	300	653878	552	447811827	43820059	3	0.088501	0.997413	-0.151647
88.741	07:34:27.741	40.451435479	-3.728795738	-6979	3990	1418	-498560	1373998	678119	0	4995	186	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200086250	119	827	172	192	-122	653714	703949	-37287957	404514364	411671450	-31612109	485058112	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	0.976242,-0.532973	7.,5.65,43.009998,40.880001,4.77,51.93,41.279999,9.6875,25.860001,0.,0.,0.,0.,0.,0.,0.	-0.001199	1	5	0	30	200086250	2382	10	285	653714	441	447811911	43820155	3	0.081291	0.85164	-0.157523
88.991	07:34:27.991	40.451435479	-3.728795738	-154	2150	-1964	-393088	1318960	691042	0	5084	300	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200086250	119	827	172	192	-122	653714	703949	-37287957	404514364	411671450	-31612109	485058112	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	1.027805,-0.483755	0.,0.8,0.8,0.5,0.5,0.05,41.279999,9.6875,25.860001,0.,0.,0.,0.,0.,0.,0.	-0.001103	1	5	0	30	200086250	2382	10	285	653714	441	447811911	43820155	3	0.077229	0.664877	-0.1877
89.241	07:34:28.241	40.451439830	-3.728791421	-4156	5200	-3938	-490240	1022175	1020415	0	5149	453	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200086750	122	819	190	83	-160	653601	703837	-37287887	404514455	411671520	-31612044	485058041	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	1.027805,-0.483755	0.,0.8,0.8,0.5,0.5,0.05,41.279999,9.6875,25.860001,0.,0.,0.,0.,0.,0.,0.	-0.001103	1	5	0	30	200086500	2382	3	268	653671	375	447811959	43820192	3	0.066217	0.254777	-0.199558
89.491	07:34:28.491	40.451444532	-3.728788760	-21182	11542	7963	-783744	812551	1177922	0	5169	606	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200087000	139	814	200	16	-161	653565	703801	-37287879	404514510	411671564	-31612035	485058000	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	1.08132,-0.388052	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,60.976562,41.169998,0.,0.,0.,0.,0.,0.,0.	-0.000943	1	5	0	30	200086750	2382	-2	262	653601	266	447812011	43820215	3	0.045168	-0.160227	-0.231315
89.741	07:34:28.741	40.451450033	-3.728787876	-4639	6551	-8322	-755200	1008120	907015	0	5148	746	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200087000	139	814	200	16	-161	653565	703801	-37287879	404514510	411671564	-31612035	485058000	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	1.08132,-0.388052	-7.,9.3,-1.56,24.950001,40.77,51.41,72.800003,60.976562,41.169998,0.,0.,0.,0.,0.,0.,0.	-0.000943	1	5	0	30	200087000	2382	7	257	653565	172	447812072	43820223	3	0.032556	2.47357	-0.236968
89.991	07:34:28.991	40.451455336	-3.728789820	-3342	-253	-2735	-164864	-1041168	955719	0	5034	876	-0.	0.	0.	0.	0.	1000.	600.	1400.	0.	0.	0.	0.	1	3	6	520	200087500	70	807	141	-149	-129	653693	703929	-37287940	404514605	411671653	-31612083	485057938	0.	0	702390	-37290252	404514297	411671292	-31614047	485057915	1.08093,-0.273598	7.,5.65,43.009998,40.880001,4.77,51.93,41.279999,9.6875,25.860001,0.,0.,0.,0.,0.,0.,0.	-0.000753	1	5	0	30	200087250	2382	4	244	653617	67	447812131	43820207	3	-0.009104	4.293507	-0.216055
