605.949 5  0 8.230422 0.225 1.851845 1.037037 0.000339 0.00279
610.409 5  0 8.230422 0.225 1.851845 1.020202 0.00062 0.005106
614.878 5  0 8.230422 0.225 1.851845 1.013889 0.000901 0.007421
619.420 5  0 8.239253 0.225 1.853832 1.010582 0.001183 0.009736
623.979 5  0 8.230422 0.225 1.851845 1.017094 0.001465 0.012057
628.407 5  0 8.230422 0.225 1.851845 1.014337 0.001742 0.014342
632.892 5  0 8.221591 0.225 1.849858 1.018519 0.002022 0.016644
637.415 5  0 8.221591 0.225 1.849858 1.01626 0.002302 0.018946
641.852 5  0 8.221591 0.225 1.849858 1.016908 0.002584 0.021264
646.340 5  0 8.230422 0.225 1.851845 1.017429 0.002866 0.023583
650.803 5  245 8.21276 0.275 2.258509 1.041667 0.003172 0.026102
655.346 5  240 8.21276 0.35 2.874466 1.120219 0.003546 0.029168
659.814 5  235 8.186268 0.525 4.297791 1.277778 0.004096 0.03367
664.236 5  233 8.177437 0.625 5.110898 1.486698 0.004826 0.039643
668.741 5  235 8.186268 0.525 4.297791 1.660819 0.005535 0.045419
673.227 5  27 7.788876 2.7 21.029966 1.967078 0.006651 0.054325
682.241 5  26 7.806538 2.2 17.174383 2.968254 0.010353 0.083454
686.808 5  27 7.850692 1.925 15.112582 3.449074 0.012354 0.099303
704.665 5  252 8.186268 0.2 1.637254 3.244253 0.014151 0.113712
713.638 5  4 8.142113 0.225 1.831975 3.708113 0.017281 0.137853
722.711 5  36 7.744721 2.45 18.974567 4.829248 0.023655 0.1866
727.091 5  4 8.10679 0.2 1.621358 4.881797 0.024752 0.195151
736.184 5  4 8.150944 0.2 1.630189 4.624724 0.025256 0.199249
740.597 5  4 8.159775 0.2 1.631955 4.508547 0.025506 0.201287
749.610 5  4 8.168606 0.2 1.633721 4.298527 0.026014 0.20543
767.504 5  4 8.186268 0.2 1.637254 3.943847 0.027014 0.213607
771.886 5  27 7.753552 2.275 17.639332 4.043048 0.028342 0.223992
776.365 5  12 8.159775 0.2 1.631955 4.057823 0.029165 0.230514
785.359 5  12 8.177437 0.2 1.635487 3.909385 0.029664 0.234593
798.917 5  12 8.186268 0.2 1.637254 3.711915 0.030414 0.240722
803.291 5  12 8.177437 0.2 1.635487 3.651917 0.030664 0.242768
812.281 5  12 8.186268 0.2 1.637254 3.539548 0.031163 0.246856
825.751 5  27 7.8242 1.825 14.279164 3.927844 0.03642 0.286457
830.311 5  4 8.133282 0.2 1.626656 3.947483 0.037294 0.293378
839.195 5  4 8.150944 0.2 1.630189 3.836675 0.037794 0.297456
843.692 5  12 8.150944 0.25 2.037736 3.784748 0.038048 0.299523
848.196 5  21 7.991987 1.35 10.789183 3.863929 0.039392 0.310281
852.689 5  21 7.974325 1.175 9.369832 3.960459 0.040929 0.322553
857.128 5  21 7.983156 1.2 9.579788 4.057109 0.0425 0.335114
861.635 5  255 8.133282 0.2 1.626656 4.064147 0.043287 0.341398
870.702 5  4 8.142113 0.2 1.628423 4.032854 0.044434 0.350633
875.110 5  4 8.150944 0.2 1.630189 3.983297 0.044684 0.35267
888.660 5  4 8.159775 0.2 1.631955 3.843891 0.045434 0.358786
897.586 5  4 8.168606 0.2 1.633721 3.757972 0.045934 0.362868
901.980 5  4 8.168606 0.2 1.633721 3.716931 0.046184 0.364911
906.561 5  4 8.168606 0.2 1.633721 3.677094 0.046433 0.366947
910.958 5  4 8.168606 0.2 1.633721 3.638407 0.046683 0.36899
915.576 5  4 8.168606 0.2 1.633721 3.600823 0.046933 0.371032
919.970 5  4 8.168606 0.2 1.633721 3.564295 0.047183 0.373075
924.442 5  4 8.177437 0.2 1.635487 3.528778 0.047433 0.375118
928.911 5  4 8.168606 0.2 1.633721 3.494232 0.047682 0.377156
933.521 5  4 8.177437 0.2 1.635487 3.460617 0.047932 0.379199
942.388 5  20 8.062634 1.275 10.279859 3.553514 0.050295 0.398096
946.892 5  255 8.150944 0.2 1.630189 3.532239 0.050681 0.401222
955.897 5  27 7.780045 3.4 26.452154 3.504209 0.051637 0.40884
969.334 5  255 8.097959 0.225 1.822041 3.837253 0.057904 0.458232
978.279 5  255 8.133282 0.225 1.829988 3.770652 0.058467 0.462797
982.845 5  255 8.133282 0.225 1.829988 3.738132 0.058748 0.465083
991.689 5  255 8.142113 0.225 1.831975 3.675841 0.059312 0.469672
996.365 5  255 8.142113 0.225 1.831975 3.645503 0.059593 0.471963
1000.749 5  255 8.150944 0.225 1.833962 3.615844 0.059875 0.474254
1005.145 5  255 8.150944 0.225 1.833962 3.58709 0.060157 0.476551
1014.120 5  255 8.150944 0.225 1.833962 3.530971 0.060717 0.481119
1018.575 5  255 8.159775 0.225 1.835949 3.503815 0.060996 0.483389
1023.096 5  255 8.150944 0.225 1.833962 3.477235 0.061271 0.485631
1027.592 5  255 8.150944 0.225 1.833962 3.451214 0.061548 0.487889
1032.078 5  255 8.150944 0.225 1.833962 3.425733 0.061826 0.490153
1036.559 5  255 8.150944 0.225 1.833962 3.400777 0.062104 0.492418
1041.068 5  255 8.150944 0.225 1.833962 3.376329 0.062385 0.494711
1045.520 5  255 8.159775 0.225 1.835949 3.352375 0.062666 0.497004
1050.001 5  255 8.159775 0.225 1.835949 3.328898 0.062947 0.499297
1054.509 5  255 8.159775 0.225 1.835949 3.305885 0.063228 0.501585
1059.013 5  255 8.159775 0.225 1.835949 3.283323 0.063509 0.503881
1063.468 5  255 8.159775 0.225 1.835949 3.261197 0.063789 0.506165
1068.015 5  255 8.150944 0.225 1.833962 3.239497 0.064068 0.508439
1072.480 5  255 8.150944 0.225 1.833962 3.218631 0.064346 0.510712
1076.972 5  255 8.159775 0.225 1.835949 3.19774 0.064621 0.512956
1081.407 5  12 8.142113 0.25 2.035528 3.179312 0.064914 0.515346
1085.930 5  4 8.159775 0.2 1.631955 3.159992 0.065171 0.517443
1090.372 5  4 8.168606 0.2 1.633721 3.140212 0.065422 0.51949
1094.917 5  36 7.594595 4.25 32.277031 3.189756 0.066956 0.530965
1099.388 5  12 8.053803 0.375 3.020176 3.331135 0.070093 0.555223
1103.864 5  23 7.974325 1.4 11.164055 3.38364 0.071624 0.567374
1108.336 5  23 7.841861 1.675 13.135118 3.458971 0.073591 0.58293
1112.828 5  23 8.053803 1.325 10.67129 3.534345 0.075578 0.598646
1117.297 5  22 7.930171 1.325 10.507477 3.606289 0.077524 0.614084
1121.803 5  21 7.947833 1.125 8.941312 3.647351 0.07894 0.625307
1126.249 5  23 7.903678 1.4 11.065149 3.698142 0.080531 0.63789
1130.748 5  23 7.886016 1.4 11.040422 3.749765 0.082152 0.650689
1135.319 5  22 7.894847 1.375 10.855414 3.800336 0.083787 0.663627
1139.749 5  24 7.868354 1.475 11.605823 3.855981 0.085522 0.677306
1144.243 5  23 7.877185 1.4 11.028059 3.917308 0.087388 0.692025
1148.742 5  22 7.850692 1.425 11.187236 3.976541 0.089222 0.706485
1153.174 5  24 7.806538 1.75 13.661441 4.036616 0.091102 0.721264
1157.680 5  22 7.841861 1.3 10.194419 4.091251 0.092893 0.735377
1162.169 5  21 7.991987 1.075 8.591387 4.127086 0.094329 0.746741
1166.626 5  24 7.8242 1.55 12.127509 4.168868 0.095884 0.759066
1171.148 5  22 7.930171 1.35 10.70573 4.216632 0.097581 0.772438
1175.631 5  21 7.806538 1.375 10.73399 4.258277 0.099178 0.785012
1180.111 5  24 7.947833 1.425 11.325661 4.301514 0.100821 0.797929
1189.135 5  23 7.877185 1.35 10.6342 4.400576 0.104406 0.826134
1193.573 5  24 7.868354 1.7 13.376203 4.452849 0.106282 0.840868
1198.056 5  23 7.850692 1.475 11.579771 4.506173 0.108201 0.855903
1202.543 5  21 7.947833 1.125 8.941312 4.546779 0.109858 0.868918
1207.028 5  22 7.850692 1.225 9.617098 4.579553 0.111348 0.880684
1211.523 5  23 7.877185 1.45 11.421919 4.621472 0.113055 0.894116
1220.489 5  21 7.974325 1.2 9.569191 4.694002 0.116258 0.919356
1224.979 5  24 7.788876 1.65 12.851645 4.729885 0.117877 0.932102
1229.465 5  22 7.797707 1.4 10.916789 4.770645 0.119619 0.945764
1233.961 5  25 7.806538 1.5 11.709806 4.814605 0.12144 0.960049
1238.446 5  23 7.92134 1.475 11.683976 4.862947 0.123379 0.975195
1247.412 5  22 7.8242 1.325 10.367064 4.932655 0.126679 1.001061
1251.896 5  22 7.850692 1.475 11.579771 4.965565 0.128298 1.013792
1256.386 5  23 7.841861 1.375 10.782559 4.998936 0.129943 1.026728
1260.870 5  23 7.886016 1.1 8.674618 5.030646 0.131559 1.039429
1265.353 5  23 7.850692 1.325 10.402167 5.062828 0.13319 1.052299
1274.331 5  25 7.815369 1.675 13.090742 5.135079 0.136704 1.079852
1278.769 5  23 7.797707 1.5 11.69656 5.17622 0.138599 1.094641
1283.230 5  22 7.806538 1.275 9.953336 5.215506 0.140466 1.109215
1287.785 5  20 7.894847 0.95 7.500104 5.240354 0.141985 1.121138
1292.238 5  23 7.859523 1.325 10.413869 5.26488 0.143505 1.133057
1296.759 5  22 7.859523 1.25 9.824404 5.296392 0.145214 1.146454
1301.254 5  23 7.753552 1.575 12.211844 5.324655 0.146845 1.15921
1305.676 5  251 7.674074 2.075 15.923703 5.476534 0.152102 1.196318
1310.175 5  235 7.956664 0.275 2.188082 5.45512 0.152492 1.199406
1314.634 5  243 7.974325 0.2 1.594865 5.460776 0.153592 1.208012
1319.132 5  243 8.000818 0.2 1.600164 5.432931 0.153847 1.210042
1323.620 5  255 8.009649 0.2 1.60193 5.405431 0.154097 1.212042
1328.113 5  61 6.702672 10.35 69.372658 5.409782 0.155275 1.220444
1332.598 5  23 7.8242 1.65 12.909929 5.470452 0.157926 1.240195
1337.083 5  23 7.788876 1.55 12.072758 5.497902 0.15961 1.253343
1341.580 5  20 7.859523 1.525 11.985773 5.488431 0.16033 1.259015
1346.053 5  44 7.364992 4.875 35.904335 5.548202 0.162985 1.278957
1350.511 5  252 7.956664 0.2 1.591333 5.587852 0.165071 1.294828
1355.075 5  246 7.991987 0.2 1.598397 5.560576 0.165327 1.296872
1359.518 5  246 8.000818 0.2 1.600164 5.533622 0.16558 1.298886
1363.988 5  246 8.009649 0.2 1.60193 5.506985 0.165832 1.300904
1368.477 5  0 8.01848 0.225 1.804158 5.480659 0.166108 1.303118
1372.966 5  0 8.02731 0.225 1.806145 5.454639 0.166388 1.305367
1377.450 5  0 8.02731 0.225 1.806145 5.42892 0.166669 1.30762
1381.931 5  0 8.036141 0.2 1.607228 5.403495 0.166947 1.309862
1386.425 5  0 8.036141 0.225 1.808132 5.378361 0.167226 1.312098
1390.904 5  0 8.044972 0.225 1.810119 5.353512 0.167505 1.314347
1395.410 5  0 8.036141 0.25 2.009035 5.334211 0.167828 1.316941
1399.930 5  0 8.036141 0.25 2.009035 5.315376 0.168142 1.319463
1404.356 5  0 8.036141 0.25 2.009035 5.296751 0.168455 1.321975
