602.555 5  0 0 0 0 0 0 0 0 0 0 0
602.866 5  0 0 0 0 0 0 0 0 0 0 0
603.086 5  0 0 0 0 0 0 0 0 0 0 0
603.283 5  0 0 0 0 0 0 0 0 0 0 0
603.551 5  0 0 0 0 0 0 0 0 0 0 0
603.784 5  0 0 0 0 0 0 0 0 0 0 0
604.084 5  0 0 0 0 0 0 0 0 0 0 0
604.282 5  0 16602145 0 0 -17000 0 0 0 117428000 31 0
604.550 5  0 16602145 0 0 -17000 0 0 0 117428000 31 0
604.779 5  0 16602145 0 0 -17000 0 0 0 117428000 31 0
605.108 5  0 16602145 0 0 -17000 0 0 0 117428000 31 0
605.279 5  0 16602145 0 0 -17000 0 0 2373 117429000 31 0
605.559 5  0 16602145 0 0 -17000 0 0 2373 117429000 31 0
605.737 5  0 16602145 0 0 -17000 0 0 2373 117429000 31 0
606.038 5  0 16602145 0 0 -17000 0 0 2373 117429000 31 0
606.288 5  0 16602145 0 0 -17000 0 0 2373 117430000 31 0
606.534 5  0 16602145 0 0 -17000 0 0 2373 117430250 31 0
606.768 5  0 16602145 0 0 -17000 0 0 2373 117430500 31 0
607.046 5  0 16602145 0 0 -17000 0 0 2373 117430750 31 0
607.270 5  0 16602145 0 0 -17000 0 0 2373 117431000 31 0
607.585 5  0 16602145 0 0 -17000 0 0 2373 117431250 31 0
607.765 5  0 16602145 0 0 -17000 0 0 2373 117431500 31 0
608.044 5  0 16602145 0 0 -17000 0 0 2373 117431750 31 0
608.275 5  0 16602145 0 0 -17000 0 0 2373 117432000 31 0
608.516 5  0 16602145 0 0 -17000 0 0 2373 117432250 31 0
608.773 5  0 16602145 0 0 -17000 0 0 2373 117432500 31 0
609.038 5  0 16602145 0 0 -17000 0 0 2373 117432750 31 0
609.285 5  0 16602145 0 0 -17000 0 0 2373 117433000 31 0
609.583 5  0 16602145 0 0 -17000 0 0 2373 117433250 31 0
609.772 5  0 16602145 0 0 -17000 0 0 2373 117433500 31 0
610.015 5  0 16602145 0 0 -17000 0 0 2373 117433750 31 0
610.272 5  0 16602145 0 0 -17000 0 0 2373 117434000 31 0
610.498 5  0 16602145 0 0 -17000 0 0 2373 117434250 31 0
610.764 5  0 16602145 0 0 -17000 0 0 2373 117434500 31 0
611.028 5  0 16602145 0 0 -17000 0 0 2373 117434750 31 0
611.222 5  0 16602145 0 0 -17000 0 0 2373 117435000 31 0
611.584 5  0 16602145 0 0 -17000 0 0 2373 117435250 31 0
611.732 5  0 16602145 0 0 -17000 0 0 2373 117435500 31 0
612.010 5  0 16602145 0 0 -17000 0 0 2373 117435750 31 0
612.270 5  0 16602145 0 0 -17000 0 0 2373 117436000 31 0
612.534 5  0 16602145 0 0 -17000 0 0 2373 117436250 31 0
612.717 5  0 16602145 0 0 -17000 0 0 2373 117436500 31 0
613.051 5  0 16602145 0 0 -17000 0 0 2373 117436750 31 0
613.238 5  0 16602145 0 0 -17000 0 0 2373 117437000 31 0
613.531 5  0 16602145 0 0 -17000 0 0 2373 117437250 31 0
613.755 5  0 16602145 0 0 -17000 0 0 2373 117437500 31 0
614.030 5  0 16602145 0 0 -17000 0 0 2373 117437750 31 0
614.247 5  0 16602145 0 0 -17000 0 0 2373 117438000 31 0
614.515 5  0 16602145 0 0 -17000 0 0 2373 117438250 31 0
614.748 5  0 16602145 0 0 -17000 0 0 2373 117438500 31 0
614.965 5  0 16602145 0 0 -17000 0 0 2373 117438750 31 0
615.254 5  0 16602145 0 0 -17000 0 0 2373 117439000 31 0
615.539 5  0 16602145 0 0 -17000 0 0 2373 117439250 31 0
615.740 5  0 16602145 0 0 -17000 0 0 2373 117439500 31 0
615.992 5  0 16602145 0 0 -17000 0 0 2373 117439750 31 0
616.250 5  0 16602145 0 0 -17000 0 0 2373 117440000 31 0
616.509 5  0 16602145 0 0 -17000 0 0 2373 117440250 31 0
616.729 5  0 16602145 0 0 -17000 0 0 2373 117440500 31 0
617.014 5  0 16602145 0 0 -17000 0 0 2373 117440750 31 0
617.238 5  0 16602145 0 0 -17000 0 0 2373 117441000 31 0
617.485 5  0 16602145 0 0 -17000 0 0 2373 117441250 31 0
617.742 5  0 16602145 0 0 -17000 0 0 2373 117441500 31 0
618.009 5  0 16602145 0 0 -17000 0 0 2373 117441750 31 0
618.238 5  0 16602145 0 0 -17000 0 0 2373 117442000 31 0
618.498 5  0 16602145 0 0 -17000 0 0 2373 117442250 31 0
618.755 5  0 16602145 0 0 -17000 0 0 2373 117442500 31 0
618.973 5  0 16602145 0 0 -17000 0 0 2373 117442750 31 0
619.238 5  0 16602145 0 0 -17000 0 0 2373 117443000 31 0
619.508 5  0 16602145 0 0 -17000 0 0 2373 117443250 31 0
619.735 5  0 16602145 0 0 -17000 0 0 2373 117443500 31 0
620.000 5  0 16602145 0 0 -17000 0 0 2373 117443750 31 0
620.269 5  0 16602145 0 0 -17000 0 0 2373 117444000 31 0
620.484 5  0 16602145 0 0 -17000 0 0 2373 117444250 31 0
620.744 5  0 16602145 0 0 -17000 0 0 2373 117444500 31 0
621.029 5  0 16602145 0 0 -17000 0 0 2373 117444750 31 0
621.215 5  0 16602145 0 0 -17000 0 0 2373 117445000 31 0
621.477 5  0 16602145 0 0 -17000 0 0 2373 117445250 31 0
621.727 5  0 16602145 0 0 -17000 0 0 2373 117445500 31 0
622.041 5  0 16602145 0 0 -17000 0 0 2373 117445750 31 0
622.229 5  0 16602145 0 0 -17000 0 0 2373 117446000 31 0
622.492 5  0 16602145 0 0 -17000 0 0 2373 117446250 31 0
622.727 5  0 16602145 0 0 -17000 0 0 2373 117446500 31 0
622.943 5  0 16602145 0 0 -17000 0 0 2373 117446750 31 0
623.268 5  0 16602145 0 0 -17000 0 0 2373 117447000 31 0
623.489 5  0 16602145 0 0 -17000 0 0 2373 117447250 31 0
623.748 5  0 16602145 0 0 -17000 0 0 2373 117447500 31 0
623.982 5  0 16602145 0 0 -17000 0 0 2373 117447750 31 0
624.238 5  0 16602145 0 0 -17000 0 0 2373 117448000 31 0
624.506 5  0 16602145 0 0 -17000 0 0 2373 117448250 31 0
624.749 5  0 16602145 0 0 -17000 0 0 2373 117448500 31 0
624.967 5  0 16602145 0 0 -17000 0 0 2373 117448750 31 0
625.185 5  0 16602145 0 0 -17000 0 0 2373 117449000 31 0
625.485 5  0 16602145 0 0 -17000 0 0 2373 117449250 31 0
625.694 5  0 16602145 0 0 -17000 0 0 2373 117449500 31 0
625.976 5  0 16602145 0 0 -17000 0 0 2373 117449750 31 0
626.208 5  0 16602145 0 0 -17000 0 0 2373 117450000 31 0
626.430 5  0 16602145 0 0 -17000 0 0 2373 117450250 31 0
626.717 5  0 16602145 0 0 -17000 0 0 2373 117450500 31 0
626.966 5  0 16602145 0 0 -17000 0 0 2373 117450750 31 0
627.190 5  0 16602145 0 0 -17000 0 0 2373 117451000 31 0
627.466 5  0 16602145 0 0 -17000 0 0 2373 117451250 31 0
627.666 5  0 16602145 0 0 -17000 0 0 2373 117451500 31 0
627.946 5  0 16602145 0 0 -17000 0 0 2373 117451750 31 0
628.222 5  0 16602145 0 0 -17000 0 0 2373 117452000 31 0
628.478 5  0 16602145 0 0 -17000 0 0 2373 117452250 31 0
628.738 5  0 16602145 0 0 -17000 0 0 2373 117452500 31 0
628.979 5  0 16602145 0 0 -17000 0 0 2373 117452750 31 0
629.226 5  0 16602145 0 0 -17000 0 0 2373 117453000 31 0
629.480 5  0 16602145 0 0 -17000 0 0 2373 117453250 31 0
629.723 5  0 16602145 0 0 -17000 0 0 2373 117453500 31 0
629.978 5  0 16602145 0 0 -17000 0 0 2373 117453750 31 0
630.197 5  0 16602145 0 0 -17000 0 0 2373 117454000 31 0
630.460 5  0 16602145 0 0 -17000 0 0 2373 117454250 31 0
630.702 5  0 16602145 0 0 -17000 0 0 2373 117454500 31 0
630.966 5  0 16602145 0 0 -17000 0 0 2373 117454750 31 0
631.204 5  0 16602145 0 0 -17000 0 0 2373 117455000 31 0
631.427 5  0 16602145 0 0 -17000 0 0 2373 117455250 31 0
631.688 5  0 16602145 0 0 -17000 0 0 2373 117455500 31 0
631.951 5  0 16602145 0 0 -17000 0 0 2373 117455750 31 0
632.251 5  0 16602145 0 0 -17000 0 0 2373 117456000 31 0
632.486 5  0 65057045 504842596 0 10804165 0 0 2373 117456250 27 0
632.698 5  0 65070567 504843106 0 10804172 0 0 2373 117456500 27 0
632.962 5  0 65084091 504843616 0 10804179 0 0 2373 117456750 27 0
633.179 5  0 65097613 504844126 0 10804185 0 0 2373 117457000 27 0
633.456 5  0 61666571 504515466 0 10795478 0 0 2373 117457250 27 0
633.681 5  0 65124659 504845144 0 10804199 0 0 2373 117457500 27 0
633.967 5  0 62186383 503352041 0 10756203 0 0 2373 117457750 27 0
634.196 5  0 65680924 503698232 0 10765361 0 0 2373 117458000 27 0
634.456 5  0 65694414 503698803 0 10765369 0 0 2373 117458250 27 0
634.698 5  0 65707905 503699371 0 10765377 0 0 2373 117458500 27 0
634.961 5  0 65192272 504847679 0 10804232 0 0 2373 117458750 27 0
635.159 5  0 65734886 503700508 0 10765394 0 0 2373 117459000 27 0
635.425 5  0 65748376 503701075 0 10765402 0 0 2373 117459250 27 0
635.682 5  0 65761866 503701643 0 10765411 0 0 2373 117459500 27 0
635.951 5  0 65775357 503702209 0 10765419 0 0 2373 117459750 27 0
636.172 5  0 62307666 503358265 0 10756338 0 0 2373 117460000 27 0
636.453 5  0 62321141 503358953 0 10756353 0 0 2373 117460250 27 0
636.714 5  0 65286929 504851210 0 10804277 0 0 2373 117460500 27 0
636.947 5  0 65829317 503704471 0 10765452 0 0 2373 117460750 27 0
637.184 5  0 62361568 503361018 0 10756397 0 0 2373 117461000 27 0
637.452 5  0 62375043 503361706 0 10756412 0 0 2373 117461250 27 0
637.709 5  0 62388518 503362392 0 10756427 0 0 2373 117461500 27 0
637.945 5  0 64588027 505990426 0 10842952 0 0 2373 117461750 27 0
638.167 5  0 64601581 505990872 0 10842957 0 0 2373 117462000 27 0
638.456 5  0 43817856 447811380 0 666045 16 23 2373 117462250 30 0
638.677 5  0 43817859 447811395 0 666356 7 19 2373 117462500 30 0
638.941 5  0 43817859 447811399 0 666749 16 41 2373 117462750 30 0
639.166 5  3 43817859 447811391 0 667051 22 38 2373 117463000 30 0
639.452 5  3 43817862 447811378 0 667203 45 28 2373 117463250 30 0
639.691 5  3 43817864 447811381 0 667193 15 22 2373 117463500 30 0
639.926 5  3 43817866 447811397 0 666988 5 -3 2373 117463750 30 0
640.219 5  3 43817868 447811402 0 667026 6 -9 2373 117464000 30 0
640.444 5  3 43817869 447811399 0 666939 14 -5 2373 117464250 30 0
640.682 5  3 43817871 447811406 0 666835 26 -18 2373 117464500 30 0
640.930 5  3 43817871 447811401 0 666939 2 -5 2373 117464750 30 0
641.242 5  3 43817875 447811406 0 666768 12 -17 2373 117465000 30 0
641.441 5  3 43817877 447811407 0 666688 3 -9 2373 117465250 30 0
641.669 5  3 43817880 447811409 0 666575 10 -13 2373 117465500 30 0
641.934 5  3 43817882 447811412 0 666397 5 -10 2373 117465750 30 0
642.189 5  3 43817882 447811415 0 666290 7 -11 2373 117466000 30 0
642.407 5  3 43817880 447811423 0 666162 24 -7 2373 117466250 30 0
642.622 5  3 43817877 447811427 0 666100 22 -4 2373 117466500 30 0
642.940 5  3 43817878 447811418 0 665947 31 9 2373 117466750 30 0
643.120 5  3 43817880 447811421 0 665796 12 14 2373 117467000 30 0
643.399 5  3 43817882 447811429 0 665620 21 0 2373 117467250 30 0
643.617 5  3 43817883 447811435 0 665476 14 8 2373 117467500 30 0
643.931 5  3 43817884 447811445 0 665266 18 8 2373 117467750 30 0
644.166 5  3 43817884 447811451 0 665034 11 4 2373 117468000 30 0
644.439 5  3 43817883 447811450 0 665010 12 15 2373 117468250 30 0
644.656 5  3 43817880 447811449 0 665084 10 13 2373 117468500 30 0
644.872 5  3 43817879 447811441 0 665043 36 15 2373 117468750 30 0
645.184 5  3 43817881 447811440 0 665084 9 7 2373 117469000 30 0
645.430 5  3 43817883 447811446 0 665164 21 11 2373 117469250 30 0
645.683 5  3 43817885 447811452 0 665214 28 15 2373 117469500 30 0
645.943 5  3 43817889 447811461 0 665182 19 2 2373 117469750 30 0
646.114 5  3 43817891 447811460 0 665290 16 14 2373 117470000 30 0
