350.945 5  0 43818408 447814125 1361 665523 285 147 2368 204348257 30 0
351.185 5  0 43818439 447814065 1374 665116 236 100 2368 204348500 30 0
351.468 5  0 43818470 447814026 1518 665044 237 75 2368 204348750 30 0
351.709 5  0 43818481 447813992 1620 665246 210 72 2368 204349000 30 0
351.954 5  0 43818477 447813944 1736 665166 214 72 2368 204349250 30 0
352.447 5  0 43818456 447813825 1849 665037 256 36 2368 204349750 30 0
352.735 5  0 43818444 447813761 1887 664960 261 16 2368 204350000 30 0
352.953 5  0 43818439 447813680 1851 664832 299 2 2368 204350250 30 0
353.231 5  0 43818439 447813615 1832 664972 275 31 2368 204350500 30 0
353.515 5  0 43818436 447813548 1830 664998 267 19 2368 204350750 30 0
353.774 5  0 43818434 447813466 1845 665039 304 29 2368 204351000 30 0
354.015 5  0 43818428 447813385 1845 665007 301 14 2368 204351250 30 0
354.207 5  0 43818427 447813299 1825 664988 327 4 2368 204351500 30 0
354.404 5  0 43818428 447813222 1811 664938 299 3 2368 204351750 30 0
354.682 5  0 43818433 447813145 1786 664921 302 4 2368 204352000 30 0
354.979 5  0 43818433 447813075 1794 664717 262 -12 2368 204352250 30 0
355.231 5  0 43818439 447813013 1752 664705 250 -14 2368 204352500 30 0
355.702 5  0 43818466 447812884 1671 664648 245 -6 2368 204353000 30 0
355.969 5  0 43818489 447812817 1625 664634 271 -11 2368 204353250 30 0
356.175 5  0 43818522 447812740 1578 664542 292 -3 2368 204353500 30 0
356.446 5  0 43818554 447812677 1551 664470 271 1 2368 204353750 30 0
356.678 5  0 43818597 447812600 1507 664384 337 -11 2368 204354000 30 0
356.932 5  0 43818645 447812533 1463 664252 325 -16 2368 204354250 30 0
357.230 5  0 43818699 447812478 1412 664229 307 -6 2368 204354500 30 0
357.419 5  0 43818762 447812410 1361 664140 339 6 2368 204354750 30 0
357.692 5  0 43818827 447812367 1296 663976 320 -7 2368 204355000 30 0
357.978 5  0 43818897 447812321 1244 663912 323 -2 2368 204355250 30 0
358.202 5  0 43818976 447812277 1198 663995 356 17 2368 204355500 30 0
358.451 5  0 43819051 447812247 1165 663975 320 19 2368 204355750 30 0
358.646 5  0 43819118 447812239 1118 664173 290 14 2368 204356000 30 0
358.981 5  0 43819185 447812243 1008 664105 295 7 2368 204356250 30 0
359.439 5  0 43819334 447812260 1008 664016 286 7 2368 204356750 30 0
359.731 5  0 43819392 447812295 1008 664118 277 -5 2368 204357000 30 0
359.896 5  0 43819446 447812341 1008 664323 266 11 2368 204357250 30 0
360.227 5  0 43819496 447812394 718 664348 285 5 2368 204357500 30 0
360.988 5  0 43819600 447812584 294 664552 278 4 2368 204358250 30 0
361.658 5  0 43819648 447812760 61 664264 259 -4 2368 204359000 30 0
362.162 5  0 43819627 447812894 3460 664136 270 -9 2368 204359500 30 0
362.511 5  0 43819611 447812937 3373 663529 280 -28 2368 204359750 30 0
362.683 5  0 43819578 447812984 3299 663355 271 -25 2368 204360000 30 0
363.161 5  0 43819485 447813042 3117 663135 280 -1 2368 204360500 30 0
363.467 5  0 43819413 447813078 3042 663301 285 3 2368 204360750 30 0
363.740 5  0 43819377 447813078 3064 662566 241 -2 2368 204361000 30 0
364.162 5  0 43819261 447813099 3064 662424 266 -16 2368 204361500 30 0
364.431 5  0 43819187 447813122 2946 662551 280 -22 2368 204361750 30 0
364.729 5  0 43819126 447813122 2946 662373 281 -24 2368 204362000 30 0
365.437 5  0 43818916 447813083 2661 662293 292 -32 2368 204362750 30 0
365.662 5  0 43818854 447813053 2661 662374 274 -24 2368 204363000 30 0
366.175 5  0 43818764 447812951 2661 662214 264 -11 2368 204363500 30 0
366.507 5  0 43818732 447812881 2334 662052 312 -7 2368 204363750 30 0
366.671 5  0 43818694 447812811 2241 661717 296 -13 2368 204364000 30 0
