602.361 5  0 0 0 0 0 0 -564 1520 -8322
602.467 5  0 0 0 0 0 0 -643 1422 -8193
602.557 5  0 0 0 0 0 0 -378 1344 -8236
602.617 5  0 0 0 0 0 0 -451 1412 -8246
602.773 5  0 0 0 0 0 0 -574 1432 -8356
602.867 5  0 0 0 0 0 0 -432 1515 -8327
602.943 5  0 0 0 0 0 0 -427 1286 -8476
603.089 5  0 0 0 0 0 0 -869 1895 -8289
603.112 5  0 0 0 0 0 0 714 1525 -8318
603.282 5  0 0 0 0 0 0 734 1339 -8739
603.377 5  0 0 0 0 0 0 -987 1139 -8337
603.462 5  0 0 0 0 0 0 -137 1295 -8581
603.554 5  0 0 0 0 0 0 -982 1476 -8447
603.611 5  0 0 0 0 0 0 -378 1637 -8342
603.783 5  0 0 0 0 0 0 -618 1466 -8351
603.813 5  0 0 0 0 0 0 -181 1271 -8231
603.990 5  0 0 0 0 0 0 -230 1266 -8083
604.085 5  0 0 0 0 0 0 -510 1578 -8246
604.163 5  0 0 0 0 0 0 -682 612 -8624
604.282 5  0 0 0 0 0 0 -643 1764 -8423
604.351 5  0 0 0 0 0 0 -181 1471 -8346
604.464 5  0 0 0 0 0 0 -589 1305 -8179
604.552 5  0 0 0 0 0 0 -383 1554 -8298
604.642 5  0 0 0 0 0 0 -176 1481 -8208
604.778 5  0 0 0 0 0 0 -574 1686 -8322
604.863 5  0 0 0 0 0 0 -726 1427 -8366
604.952 5  0 0 0 0 0 0 233 2169 -8375
605.109 5  0 0 0 0 0 0 120 -1683 -8629
605.111 5  0 0 0 0 0 0 -1379 2510 -8332
605.218 5  0 0 0 0 0 0 115 2432 -8557
605.382 5  0 0 0 0 0 0 -132 1227 -8423
605.475 5  0 0 0 0 0 0 -859 1056 -8361
605.564 5  0 0 0 0 0 0 -166 1305 -8327
605.610 5  0 0 0 0 0 0 -412 1544 -8332
605.736 5  0 0 0 0 0 0 -486 1544 -8337
605.869 5  0 0 0 0 0 0 -329 1476 -8303
605.950 5  0 0 0 0 0 0 -461 1456 -8366
606.039 5  0 0 0 0 0 0 -378 1456 -8356
606.104 5  0 0 0 0 0 0 -437 1432 -8375
606.287 5  0 0 0 0 0 0 -373 1476 -8346
606.376 5  0 0 0 0 0 0 -432 1476 -8322
606.438 5  0 0 0 0 0 0 -402 1471 -8361
606.539 5  0 0 0 0 0 0 -417 1486 -8361
606.626 5  0 0 0 0 0 0 -14 -15 -8367
606.767 5  0 0 0 0 0 0 -10 -17 -8411
606.879 5  0 0 0 0 0 0 20 16 -8390
606.957 5  0 0 0 0 0 0 5 -2 -8410
607.048 5  0 0 0 0 0 0 34 25 -8375
607.178 5  0 0 0 0 0 0 -21 28 -8417
607.270 5  0 0 0 0 0 0 20 -15 -8373
607.307 5  0 0 0 0 0 0 20 30 -8383
607.415 5  0 0 0 0 0 0 9 -16 -8421
607.678 5  0 0 0 0 0 0 -21 12 -8408
607.763 5  0 0 0 0 0 0 -1 -1 -8425
607.852 5  0 0 0 0 0 0 4 -12 -8415
607.951 5  0 0 0 0 0 0 -35 14 -8422
608.048 5  0 0 0 0 0 0 -15 16 -8394
608.133 5  0 0 0 0 0 0 -34 13 -8413
608.274 5  0 0 0 0 0 0 5 -4 -8386
608.325 5  0 0 0 0 0 0 -20 26 -8398
608.433 5  0 0 0 0 0 0 -10 5 -8433
