602.401 5  5 -1 602 0 3209 85 0 1843. 49. 6 0.
603.402 5  5 -1 603 0 4991 132 0 1782. 47. 12 0.
604.403 5  5 -1 604 0 6693 177 0 1702. 45. 18 0.
605.403 5  5 -1 605 0 8429 223 0 1736. 46. 24 0.
606.403 5  5 -1 606 0 10158 269 0 1729. 46. 31 72.21
607.403 5  5 -1 607 0 11914 316 0 1756. 47. 37 72.21
608.405 5  5 -1 608 0 13848 368 0 1934. 52. 43 72.21
609.405 5  5 -1 609 0 15550 413 0 1702. 45. 49 72.21
610.406 5  5 -1 610 0 17258 458 0 1708. 45. 55 72.21
611.407 5  5 -1 611 0 19015 505 0 1757. 47. 62 62.07
612.407 5  5 -1 612 0 20786 552 0 1771. 47. 68 62.07
613.407 5  5 -1 613 0 22546 599 0 1760. 47. 74 62.07
614.408 5  5 -1 614 0 24252 643 0 1706. 44. 80 62.07
615.409 5  5 -1 615 0 26022 690 0 1770. 47. 86 62.07
616.411 5  5 -1 616 0 27765 737 0 1743. 47. 93 53.27
617.411 5  5 -1 617 0 29541 784 0 1776. 47. 99 53.27
618.415 5  5 -1 618 0 31504 837 0 1963. 53. 105 53.27
619.412 5  5 -1 619 0 33108 879 0 1604. 42. 111 53.27
620.412 5  5 -1 620 0 34898 926 0 1790. 47. 117 53.27
621.413 5  5 -1 621 0 36671 974 0 1773. 48. 124 46.87
622.414 5  5 -1 622 0 38531 1023 0 1860. 49. 130 46.87
623.415 5  5 -1 623 0 40096 1064 0 1565. 41. 136 46.87
624.415 5  5 -1 624 0 41894 1112 0 1798. 48. 142 46.87
625.416 5  5 -1 625 0 43709 1159 0 1815. 47. 148 46.87
626.416 5  5 -1 626 0 45432 1205 0 1723. 46. 155 20.02
627.418 5  5 -1 627 0 47024 1247 0 1592. 42. 161 20.02
628.418 5  5 -1 628 0 49016 1301 0 1992. 54. 167 20.02
629.418 5  5 -1 629 0 50788 1347 0 1772. 46. 173 20.02
630.419 5  5 -1 630 0 52457 1392 0 1669. 45. 179 20.02
631.420 5  5 -1 631 0 54098 1436 0 1641. 44. 186 78.86
632.421 5  5 -1 632 0 56032 1485 0 1934. 49. 192 78.86
633.421 5  5 -1 633 0 57705 1530 0 1673. 45. 198 78.86
634.422 5  5 -1 634 0 59465 1577 0 1760. 47. 204 78.86
635.422 5  5 -1 635 0 61171 1622 0 1706. 45. 210 78.86
636.423 5  5 -1 636 0 62825 1666 0 1654. 44. 217 59.38
637.424 5  5 -1 637 0 64623 1714 0 1798. 48. 223 59.38
638.424 5  5 -1 638 0 66708 1769 0 2085. 55. 229 59.38
639.425 5  5 -1 639 0 68277 1810 0 1569. 41. 235 59.38
640.426 5  5 -1 640 0 69808 1848 0 1531. 38. 241 59.38
641.427 5  5 -1 641 0 71340 1884 0 1532. 36. 248 64.27
642.428 5  5 -1 642 0 73125 1927 0 1785. 43. 254 64.27
643.428 5  5 -1 643 0 74662 1965 0 1537. 38. 260 64.27
644.429 5  5 -1 644 0 76083 1999 0 1421. 34. 266 64.27
645.432 5  5 -1 645 0 77663 2037 0 1580. 38. 272 64.27
646.430 5  5 -1 646 0 79301 2078 0 1638. 41. 279 59.74
647.433 5  5 -1 647 0 81041 2120 0 1740. 42. 285 59.74
648.433 5  5 -1 648 0 82682 2161 0 1641. 41. 291 59.74
649.434 5  5 -1 649 0 84244 2199 0 1562. 38. 297 59.74
650.434 5  5 -1 650 0 85691 2233 0 1447. 34. 303 59.74
651.435 5  5 -1 651 0 87536 2279 0 1845. 46. 310 141.55
652.442 5  5 -1 652 0 89078 2316 0 1542. 37. 316 141.55
653.436 5  5 -1 653 0 90743 2357 0 1665. 41. 322 141.55
654.437 5  5 -1 654 0 92287 2394 0 1544. 37. 328 141.55
655.438 5  5 -1 655 0 93907 2433 0 1620. 39. 334 141.55
656.438 5  5 -1 656 0 95586 2475 0 1679. 42. 341 93.17
657.439 5  5 -1 657 0 97291 2517 0 1705. 42. 347 93.17
658.451 5  5 -1 658 0 98958 2557 0 1667. 40. 352 93.17
659.440 5  5 -1 659 0 100624 2598 0 1666. 41. 359 93.17
660.440 5  5 -1 660 0 102269 2638 0 1645. 40. 365 93.17
661.441 5  5 -1 661 0 103880 2677 0 1611. 39. 372 -4907.06
662.442 5  5 -1 662 0 105440 2714 0 1560. 37. 378 -4907.06
663.454 5  5 -1 663 0 107105 2755 0 1665. 41. 383 -4907.06
664.462 5  5 -1 664 0 108533 2791 0 1428. 36. 389 -4907.06
665.463 5  5 -1 665 0 110070 2828 0 1537. 37. 395 -4907.06
666.466 5  5 -1 666 0 111628 2866 0 1558. 38. 402 -9907.94
667.444 5  5 -1 667 0 113178 2903 0 1550. 37. 409 -9907.94
668.463 5  5 -1 668 0 115014 2949 0 1836. 46. 414 -9907.94
669.445 5  5 -1 669 0 116745 2991 0 1731. 42. 421 -9907.94
670.445 5  5 -1 670 0 118227 3027 0 1482. 36. 427 -9907.94
671.446 5  5 -1 671 0 119815 3065 0 1588. 38. 434 87.66
672.447 5  5 -1 672 0 121382 3103 0 1567. 38. 440 87.66
673.447 5  5 -1 673 0 123054 3144 0 1672. 41. 446 87.66
674.449 5  5 -1 674 0 124393 3178 0 1339. 34. 452 87.66
675.468 5  5 -1 675 0 125860 3213 0 1467. 35. 457 87.66
676.448 5  5 -1 676 0 126994 3242 0 1134. 29. 465 284.96
677.449 5  5 -1 677 0 128204 3272 0 1210. 30. 471 284.96
678.449 5  5 -1 678 0 129677 3309 0 1473. 37. 477 284.96
679.449 5  5 -1 679 0 130998 3342 0 1321. 33. 483 284.96
680.450 5  5 -1 680 0 132379 3374 0 1381. 32. 489 284.96
681.450 5  5 -1 681 0 133692 3406 0 1313. 32. 496 367.12
682.451 5  5 -1 682 0 135362 3447 0 1670. 41. 502 367.12
683.487 5  5 -1 683 0 136353 3473 0 991. 26. 506 367.12
684.452 5  5 -1 684 0 137726 3506 0 1373. 33. 514 367.12
685.485 5  5 -1 685 0 139064 3538 0 1338. 32. 518 367.12
686.463 5  5 -1 686 0 140476 3573 0 1412. 35. 526 92.98
687.478 5  5 -1 687 0 141600 3599 0 1124. 26. 532 92.98
688.456 5  5 -1 688 0 142696 3625 0 1096. 26. 539 92.98
689.469 5  5 -1 689 0 144115 3660 0 1419. 35. 544 92.98
