607.585 5  1 1 0 0. 0. 0. 0.
607.586 5  3 1 0 0. 0. 0. 0.
607.586 5  4 1 0 0. 0. 0. 0.
607.586 5  6 1 0 0. 0. 0. 0.
607.586 5  1 1 0 0. 0. 0. 0.
607.586 5  3 1 0 0. 0. 0. 0.
607.587 5  4 1 0 0. 0. 0. 0.
617.486 5  1 1 0 0. 0. 0. 0.
617.569 5  3 1 0 0. 0. 0. 0.
617.569 5  4 1 0 0. 0. 0. 0.
617.574 5  6 1 0 0. 0. 0. 0.
617.574 5  1 1 0 0. 0. 0. 0.
617.574 5  3 1 0 0. 0. 0. 0.
617.574 5  4 1 0 0. 0. 0. 0.
627.467 5  1 1 0 0. 0. 0. 0.
627.467 5  3 1 0 0. 0. 0. 0.
627.571 5  4 1 0 0. 0. 0. 0.
627.572 5  6 1 0 0. 0. 0. 0.
627.573 5  1 1 0 0. 0. 0. 0.
627.575 5  3 1 0 0. 0. 0. 0.
627.576 5  4 1 0 0. 0. 0. 0.
637.452 5  1 1 0 0. 0. 0. 0.
637.537 5  3 1 0 0. 0. 0. 0.
637.538 5  4 1 0 0. 0. 0. 0.
637.539 5  6 1 0 0. 0. 0. 0.
637.539 5  1 1 0 0. 0. 0. 0.
637.539 5  3 1 0 0. 0. 0. 0.
637.539 5  4 1 0 0. 0. 0. 0.
647.430 5  1 1 0 0. 0. 0. 0.
647.430 5  3 1 0 0. 0. 0. 0.
647.431 5  4 1 0 0. 0. 0. 0.
647.431 5  6 1 0 0. 0. 0. 0.
647.432 5  1 1 0 0. 0. 0. 0.
647.432 5  3 1 0 0. 0. 0. 0.
647.433 5  4 1 0 0. 0. 0. 0.
657.434 5  1 0 0 0. 0. 0. 0.
657.434 5  3 0 0 0. 0. 0. 0.
657.434 5  4 1 60903 4478122. 438180.875 -1.459997 2.129997
657.434 5  6 1 61008 4478137.5 438191.59375 2.619997 -0.299999
657.452 5  1 0 0 0. 0. 0. 0.
667.377 5  1 0 0 0. 0. 0. 0.
667.468 5  4 1 71000 4478145. 438183.15625 1.679998 2.349997
667.469 5  6 1 71007 4478123.5 438200.03125 -0.969997 -2.449997
667.469 5  1 0 0 0. 0. 0. 0.
667.470 5  3 0 0 0. 0. 0. 0.
